method,split,stress_level,seeds,episodes_per_seed,mean_success_rate,ci95_success_rate,mean_normalized_force_error,ci95_normalized_force_error,mean_peak_overshoot,ci95_peak_overshoot,mean_safety_violation_rate,ci95_safety_violation_rate,mean_slip_rate,ci95_slip_rate,mean_chatter_rate,ci95_chatter_rate,mean_final_progress,ci95_final_progress
adaptive_impedance_control,combined_extreme_stress,0.00,8,3,0.58333,0.23910,0.12650,0.00245,1.26959,0.01351,0.00000,0.00000,0.59757,0.00532,0.05629,0.01044,0.85394,0.00136
adaptive_impedance_control,combined_extreme_stress,0.25,8,3,0.79167,0.21161,0.13184,0.00371,1.39409,0.03888,0.00000,0.00000,0.58324,0.00666,0.07077,0.00543,0.83971,0.00242
adaptive_impedance_control,combined_extreme_stress,0.50,8,3,1.00000,0.00000,0.12723,0.00326,1.49738,0.03969,0.00094,0.00121,0.55793,0.00781,0.10922,0.01188,0.82358,0.00316
adaptive_impedance_control,combined_extreme_stress,0.75,8,3,1.00000,0.00000,0.13359,0.00448,1.58504,0.06622,0.00281,0.00387,0.53264,0.00478,0.13752,0.00697,0.80082,0.00334
adaptive_impedance_control,combined_extreme_stress,1.00,8,3,0.95833,0.08167,0.14384,0.00668,1.64524,0.04827,0.00517,0.00366,0.50614,0.00426,0.15895,0.00773,0.78545,0.00515
adaptive_impedance_control,combined_stress,0.00,8,3,0.50000,0.17461,0.12410,0.00502,1.21455,0.01417,0.00000,0.00000,0.59777,0.00597,0.04591,0.00662,0.85606,0.00133
adaptive_impedance_control,combined_stress,0.25,8,3,0.91667,0.10693,0.12427,0.00287,1.38562,0.03252,0.00000,0.00000,0.58595,0.00449,0.05854,0.01232,0.83886,0.00340
adaptive_impedance_control,combined_stress,0.50,8,3,1.00000,0.00000,0.11899,0.00307,1.49596,0.03038,0.00000,0.00000,0.56728,0.00739,0.08812,0.01247,0.81955,0.00335
adaptive_impedance_control,combined_stress,0.75,8,3,1.00000,0.00000,0.12577,0.00394,1.60422,0.03918,0.00234,0.00193,0.54456,0.01144,0.12370,0.01083,0.79727,0.00438
adaptive_impedance_control,combined_stress,1.00,8,3,0.91667,0.10693,0.14179,0.00802,1.69379,0.05830,0.00705,0.00326,0.49020,0.02438,0.12710,0.01214,0.76829,0.00863
adaptive_impedance_control,friction_slip_shift,0.00,8,3,0.54167,0.17186,0.11181,0.00324,1.11501,0.02356,0.01170,0.02294,0.59889,0.00565,0.00328,0.00166,0.85702,0.00104
adaptive_impedance_control,friction_slip_shift,0.25,8,3,0.87500,0.17186,0.11643,0.00409,1.31529,0.02241,0.00000,0.00000,0.58717,0.00634,0.02578,0.00491,0.83997,0.00213
adaptive_impedance_control,friction_slip_shift,0.50,8,3,1.00000,0.00000,0.11611,0.00221,1.44916,0.02313,0.00000,0.00000,0.57102,0.00679,0.06847,0.00914,0.82175,0.00160
adaptive_impedance_control,friction_slip_shift,0.75,8,3,1.00000,0.00000,0.12128,0.00595,1.49845,0.02430,0.00000,0.00000,0.54505,0.00599,0.09476,0.01125,0.80279,0.00292
adaptive_impedance_control,friction_slip_shift,1.00,8,3,1.00000,0.00000,0.13806,0.00519,1.63480,0.02646,0.00187,0.00196,0.50445,0.01521,0.11615,0.01095,0.77764,0.00303
conformal_safety_gain,combined_extreme_stress,0.00,8,3,0.16667,0.17461,0.20929,0.00588,1.20454,0.04021,0.00000,0.00000,0.61043,0.00608,0.05196,0.01504,0.82705,0.00146
conformal_safety_gain,combined_extreme_stress,0.25,8,3,0.75000,0.16333,0.19087,0.00396,1.31694,0.04586,0.00048,0.00095,0.59130,0.00465,0.07766,0.01335,0.81237,0.00274
conformal_safety_gain,combined_extreme_stress,0.50,8,3,1.00000,0.00000,0.17211,0.00390,1.35630,0.03174,0.00000,0.00000,0.56661,0.00630,0.10017,0.01313,0.79779,0.00278
conformal_safety_gain,combined_extreme_stress,0.75,8,3,1.00000,0.00000,0.15757,0.00485,1.42275,0.05405,0.00049,0.00096,0.54116,0.01110,0.11427,0.01868,0.77741,0.00355
conformal_safety_gain,combined_extreme_stress,1.00,8,3,0.91667,0.10693,0.14676,0.00511,1.45365,0.04123,0.00000,0.00000,0.51689,0.00682,0.14328,0.01249,0.76467,0.00477
conformal_safety_gain,combined_stress,0.00,8,3,0.08333,0.10693,0.20967,0.00777,1.13048,0.02564,0.00000,0.00000,0.61194,0.00379,0.03104,0.00942,0.82846,0.00131
conformal_safety_gain,combined_stress,0.25,8,3,0.54167,0.17186,0.17859,0.00300,1.28201,0.02038,0.00000,0.00000,0.59722,0.00501,0.05676,0.01141,0.81096,0.00337
conformal_safety_gain,combined_stress,0.50,8,3,0.87500,0.11955,0.16575,0.00354,1.38073,0.03692,0.00000,0.00000,0.57553,0.00724,0.07768,0.00888,0.79413,0.00315
conformal_safety_gain,combined_stress,0.75,8,3,0.87500,0.17186,0.15371,0.00572,1.36631,0.05178,0.00000,0.00000,0.54894,0.01092,0.11235,0.01496,0.77357,0.00465
conformal_safety_gain,combined_stress,1.00,8,3,0.58333,0.20475,0.14461,0.00391,1.42959,0.06552,0.00097,0.00124,0.47999,0.02481,0.14203,0.02043,0.74555,0.00829
conformal_safety_gain,friction_slip_shift,0.00,8,3,0.12500,0.11955,0.19627,0.00727,1.03561,0.00396,0.00000,0.00000,0.61078,0.00405,0.00048,0.00094,0.82896,0.00154
conformal_safety_gain,friction_slip_shift,0.25,8,3,0.45833,0.11955,0.17206,0.00364,1.21858,0.00999,0.00000,0.00000,0.59780,0.00362,0.02816,0.00452,0.81202,0.00178
conformal_safety_gain,friction_slip_shift,0.50,8,3,0.87500,0.11955,0.16501,0.00265,1.30853,0.03600,0.00000,0.00000,0.57949,0.00337,0.04312,0.01069,0.79653,0.00197
conformal_safety_gain,friction_slip_shift,0.75,8,3,1.00000,0.00000,0.14402,0.00438,1.28771,0.02670,0.00000,0.00000,0.55183,0.00464,0.07979,0.01288,0.77929,0.00299
conformal_safety_gain,friction_slip_shift,1.00,8,3,0.83333,0.12347,0.13777,0.00416,1.32227,0.04439,0.00000,0.00000,0.49776,0.01289,0.10309,0.01917,0.75380,0.00344
ensemble_uncertainty_gain,combined_extreme_stress,0.00,8,3,0.04167,0.08167,0.20936,0.00515,1.19264,0.02225,0.00000,0.00000,0.62147,0.00574,0.05064,0.01146,0.83082,0.00124
ensemble_uncertainty_gain,combined_extreme_stress,0.25,8,3,0.33333,0.24694,0.19936,0.00610,1.36474,0.02683,0.00000,0.00000,0.60220,0.00546,0.05509,0.00910,0.81635,0.00259
ensemble_uncertainty_gain,combined_extreme_stress,0.50,8,3,0.79167,0.17186,0.18102,0.00766,1.46805,0.01339,0.00000,0.00000,0.57627,0.00811,0.08842,0.01175,0.80022,0.00278
ensemble_uncertainty_gain,combined_extreme_stress,0.75,8,3,1.00000,0.00000,0.16462,0.00519,1.56488,0.05933,0.00391,0.00290,0.54954,0.00634,0.11082,0.01221,0.77823,0.00388
ensemble_uncertainty_gain,combined_extreme_stress,1.00,8,3,0.95833,0.08167,0.15606,0.00638,1.59484,0.08180,0.00392,0.00324,0.51526,0.00933,0.13721,0.02205,0.76306,0.00467
ensemble_uncertainty_gain,combined_stress,0.00,8,3,0.04167,0.08167,0.20867,0.00873,1.14098,0.02262,0.00000,0.00000,0.62454,0.00361,0.03355,0.00975,0.83216,0.00110
ensemble_uncertainty_gain,combined_stress,0.25,8,3,0.37500,0.19276,0.18469,0.00435,1.33765,0.02590,0.00000,0.00000,0.60508,0.00475,0.05109,0.00401,0.81526,0.00329
ensemble_uncertainty_gain,combined_stress,0.50,8,3,0.75000,0.10693,0.17004,0.00571,1.48819,0.02568,0.00000,0.00000,0.58819,0.00738,0.07157,0.00978,0.79704,0.00307
ensemble_uncertainty_gain,combined_stress,0.75,8,3,0.95833,0.08167,0.16016,0.00586,1.56530,0.05010,0.00293,0.00316,0.55794,0.00865,0.09371,0.01259,0.77469,0.00484
ensemble_uncertainty_gain,combined_stress,1.00,8,3,0.58333,0.23910,0.15275,0.00261,1.60630,0.06189,0.00343,0.00226,0.48180,0.02851,0.11314,0.01893,0.74365,0.00870
ensemble_uncertainty_gain,friction_slip_shift,0.00,8,3,0.04167,0.08167,0.19521,0.00770,1.05061,0.00641,0.00000,0.00000,0.62360,0.00393,0.00000,0.00000,0.83264,0.00153
ensemble_uncertainty_gain,friction_slip_shift,0.25,8,3,0.25000,0.16333,0.17917,0.00556,1.27475,0.02026,0.00000,0.00000,0.61008,0.00577,0.02050,0.00240,0.81632,0.00173
ensemble_uncertainty_gain,friction_slip_shift,0.50,8,3,0.62500,0.14803,0.17027,0.00631,1.42426,0.04197,0.00000,0.00000,0.59080,0.00497,0.04293,0.00833,0.80014,0.00143
ensemble_uncertainty_gain,friction_slip_shift,0.75,8,3,0.95833,0.08167,0.15016,0.00455,1.53154,0.03756,0.00098,0.00126,0.56060,0.00489,0.07130,0.00897,0.78053,0.00337
ensemble_uncertainty_gain,friction_slip_shift,1.00,8,3,0.79167,0.11955,0.14751,0.00401,1.60689,0.05282,0.00538,0.00354,0.50477,0.01691,0.08791,0.00888,0.75218,0.00395
gain_scheduled_impedance,combined_extreme_stress,0.00,8,3,0.00000,0.00000,0.15499,0.00548,1.21508,0.02209,0.00000,0.00000,0.62617,0.00623,0.05389,0.00732,0.86910,0.00116
gain_scheduled_impedance,combined_extreme_stress,0.25,8,3,0.25000,0.16333,0.14929,0.00606,1.33603,0.02594,0.00000,0.00000,0.61236,0.00643,0.07886,0.01217,0.85617,0.00219
gain_scheduled_impedance,combined_extreme_stress,0.50,8,3,0.87500,0.17186,0.13464,0.00571,1.39284,0.02883,0.00000,0.00000,0.58979,0.00792,0.10556,0.01398,0.84150,0.00275
gain_scheduled_impedance,combined_extreme_stress,0.75,8,3,0.91667,0.10693,0.13425,0.00419,1.47693,0.05415,0.00095,0.00186,0.56852,0.00809,0.13557,0.01077,0.82154,0.00283
gain_scheduled_impedance,combined_extreme_stress,1.00,8,3,0.95833,0.08167,0.13725,0.00455,1.53724,0.05655,0.00192,0.00200,0.54328,0.00658,0.16601,0.01796,0.80799,0.00441
gain_scheduled_impedance,combined_stress,0.00,8,3,0.00000,0.00000,0.15283,0.00805,1.14729,0.01679,0.00000,0.00000,0.62741,0.00515,0.03913,0.00756,0.87106,0.00114
gain_scheduled_impedance,combined_stress,0.25,8,3,0.16667,0.17461,0.13624,0.00311,1.31907,0.01128,0.00000,0.00000,0.61596,0.00639,0.06063,0.00832,0.85567,0.00296
gain_scheduled_impedance,combined_stress,0.50,8,3,0.50000,0.17461,0.12655,0.00296,1.42621,0.03075,0.00000,0.00000,0.59877,0.00516,0.09544,0.01473,0.83853,0.00292
gain_scheduled_impedance,combined_stress,0.75,8,3,0.91667,0.10693,0.12529,0.00384,1.43819,0.03598,0.00000,0.00000,0.57731,0.00566,0.12365,0.01503,0.81889,0.00387
gain_scheduled_impedance,combined_stress,1.00,8,3,1.00000,0.00000,0.13401,0.00736,1.49935,0.05984,0.00048,0.00094,0.54566,0.01148,0.14494,0.01970,0.79379,0.00746
gain_scheduled_impedance,friction_slip_shift,0.00,8,3,0.04167,0.08167,0.13708,0.00677,1.04888,0.00550,0.00000,0.00000,0.62835,0.00630,0.00047,0.00093,0.87192,0.00089
gain_scheduled_impedance,friction_slip_shift,0.25,8,3,0.16667,0.17461,0.13220,0.00440,1.24927,0.01987,0.00000,0.00000,0.61643,0.00690,0.02816,0.00491,0.85678,0.00181
gain_scheduled_impedance,friction_slip_shift,0.50,8,3,0.50000,0.27608,0.12311,0.00361,1.36277,0.03149,0.00000,0.00000,0.59928,0.00688,0.05619,0.00723,0.84052,0.00137
gain_scheduled_impedance,friction_slip_shift,0.75,8,3,0.83333,0.17461,0.11733,0.00364,1.32843,0.03049,0.00000,0.00000,0.57974,0.00874,0.10840,0.01585,0.82380,0.00264
gain_scheduled_impedance,friction_slip_shift,1.00,8,3,1.00000,0.00000,0.12677,0.00231,1.42371,0.03828,0.00048,0.00094,0.55176,0.00971,0.12352,0.01813,0.80195,0.00288
hist_gradient_gain_regressor,combined_extreme_stress,0.00,8,3,0.08333,0.10693,0.20339,0.00779,1.21141,0.02096,0.00000,0.00000,0.61785,0.00351,0.05187,0.00877,0.83694,0.00152
hist_gradient_gain_regressor,combined_extreme_stress,0.25,8,3,0.41667,0.20475,0.19210,0.00542,1.35976,0.03308,0.00000,0.00000,0.59749,0.00659,0.06549,0.01188,0.82217,0.00302
hist_gradient_gain_regressor,combined_extreme_stress,0.50,8,3,0.91667,0.16333,0.18074,0.00715,1.45363,0.02129,0.00000,0.00000,0.57224,0.00496,0.09388,0.01137,0.80614,0.00323
hist_gradient_gain_regressor,combined_extreme_stress,0.75,8,3,1.00000,0.00000,0.18438,0.00347,1.58228,0.04229,0.00049,0.00096,0.54387,0.00642,0.10279,0.01068,0.78249,0.00417
hist_gradient_gain_regressor,combined_extreme_stress,1.00,8,3,0.87500,0.11955,0.19107,0.00554,1.66257,0.07178,0.00637,0.00383,0.51316,0.01298,0.13937,0.01232,0.76745,0.00529
hist_gradient_gain_regressor,combined_stress,0.00,8,3,0.12500,0.17186,0.20562,0.00815,1.14775,0.01781,0.00000,0.00000,0.61949,0.00365,0.03878,0.00812,0.83830,0.00168
hist_gradient_gain_regressor,combined_stress,0.25,8,3,0.29167,0.14803,0.17751,0.00451,1.35037,0.02630,0.00000,0.00000,0.60446,0.00499,0.04944,0.00771,0.82120,0.00388
hist_gradient_gain_regressor,combined_stress,0.50,8,3,0.87500,0.11955,0.17060,0.00540,1.50258,0.03230,0.00049,0.00096,0.57875,0.00594,0.07492,0.00883,0.80181,0.00337
hist_gradient_gain_regressor,combined_stress,0.75,8,3,0.87500,0.11955,0.18004,0.00358,1.62524,0.05176,0.00392,0.00205,0.54468,0.01274,0.08384,0.00807,0.77752,0.00490
hist_gradient_gain_regressor,combined_stress,1.00,8,3,0.50000,0.21385,0.20178,0.00768,1.70847,0.06268,0.00878,0.00345,0.45363,0.04611,0.10718,0.01127,0.74513,0.00931
hist_gradient_gain_regressor,friction_slip_shift,0.00,8,3,0.08333,0.10693,0.19179,0.00849,1.03988,0.00448,0.00000,0.00000,0.62015,0.00356,0.00000,0.00000,0.83967,0.00136
hist_gradient_gain_regressor,friction_slip_shift,0.25,8,3,0.33333,0.17461,0.17341,0.00554,1.26096,0.01598,0.00000,0.00000,0.60556,0.00506,0.02377,0.00564,0.82186,0.00241
hist_gradient_gain_regressor,friction_slip_shift,0.50,8,3,0.75000,0.16333,0.16639,0.00405,1.43415,0.01689,0.00000,0.00000,0.58393,0.00174,0.04657,0.00944,0.80431,0.00141
hist_gradient_gain_regressor,friction_slip_shift,0.75,8,3,1.00000,0.00000,0.17564,0.00408,1.55191,0.03938,0.00097,0.00124,0.55073,0.00605,0.06134,0.00973,0.78333,0.00338
hist_gradient_gain_regressor,friction_slip_shift,1.00,8,3,0.83333,0.12347,0.19486,0.00498,1.67948,0.03469,0.00585,0.00324,0.49331,0.01865,0.08227,0.01416,0.75502,0.00379
impedance_token_policy_v4,combined_extreme_stress,0.00,8,3,0.70833,0.19276,0.21858,0.00716,1.11752,0.03268,0.00000,0.00000,0.55290,0.01373,0.03043,0.00524,0.75010,0.00438
impedance_token_policy_v4,combined_extreme_stress,0.25,8,3,0.04167,0.08167,0.18230,0.00514,1.21378,0.04092,0.00000,0.00000,0.47976,0.01118,0.05351,0.01324,0.72944,0.00394
impedance_token_policy_v4,combined_extreme_stress,0.50,8,3,0.00000,0.00000,0.14654,0.00668,1.26443,0.04264,0.00000,0.00000,0.44384,0.01604,0.08157,0.01360,0.72506,0.00168
impedance_token_policy_v4,combined_extreme_stress,0.75,8,3,0.00000,0.00000,0.14644,0.00513,1.33927,0.03143,0.00000,0.00000,0.39135,0.01601,0.10573,0.01390,0.71683,0.00480
impedance_token_policy_v4,combined_extreme_stress,1.00,8,3,0.00000,0.00000,0.15988,0.00637,1.44665,0.04795,0.00050,0.00098,0.38888,0.01835,0.13126,0.01735,0.71280,0.00292
impedance_token_policy_v4,combined_stress,0.00,8,3,0.66667,0.21385,0.21766,0.00817,1.04867,0.02045,0.00000,0.00000,0.56138,0.01161,0.01397,0.00534,0.75944,0.00423
impedance_token_policy_v4,combined_stress,0.25,8,3,0.04167,0.08167,0.17205,0.00539,1.19813,0.03513,0.00000,0.00000,0.47497,0.01851,0.04335,0.00880,0.73024,0.00237
impedance_token_policy_v4,combined_stress,0.50,8,3,0.04167,0.08167,0.14603,0.00416,1.29472,0.03751,0.00000,0.00000,0.42230,0.02277,0.06808,0.00907,0.72469,0.00238
impedance_token_policy_v4,combined_stress,0.75,8,3,0.00000,0.00000,0.13495,0.00470,1.35918,0.04434,0.00000,0.00000,0.35610,0.02191,0.10322,0.01502,0.71675,0.00300
impedance_token_policy_v4,combined_stress,1.00,8,3,0.00000,0.00000,0.15394,0.01111,1.47700,0.04543,0.00096,0.00124,0.30155,0.03008,0.11404,0.01147,0.70548,0.00349
impedance_token_policy_v4,friction_slip_shift,0.00,8,3,0.91667,0.10693,0.20711,0.00786,1.00626,0.01053,0.00000,0.00000,0.56203,0.01083,0.00193,0.00143,0.76522,0.00127
impedance_token_policy_v4,friction_slip_shift,0.25,8,3,0.04167,0.08167,0.16900,0.00436,1.10716,0.01523,0.00000,0.00000,0.49306,0.01779,0.01399,0.00428,0.72947,0.00330
impedance_token_policy_v4,friction_slip_shift,0.50,8,3,0.00000,0.00000,0.14312,0.00518,1.21507,0.01657,0.00000,0.00000,0.42543,0.01670,0.04435,0.00572,0.72607,0.00237
impedance_token_policy_v4,friction_slip_shift,0.75,8,3,0.00000,0.00000,0.12978,0.00439,1.27853,0.03594,0.00000,0.00000,0.37909,0.01913,0.08297,0.01680,0.71885,0.00284
impedance_token_policy_v4,friction_slip_shift,1.00,8,3,0.00000,0.00000,0.15039,0.00593,1.40489,0.02732,0.00000,0.00000,0.32621,0.01322,0.09909,0.01089,0.71171,0.00316
impedance_token_policy_v5,combined_extreme_stress,0.00,8,3,0.00000,0.00000,0.26879,0.00453,1.10072,0.03048,0.00000,0.00000,0.40958,0.02204,0.02515,0.00898,0.71648,0.00310
impedance_token_policy_v5,combined_extreme_stress,0.25,8,3,0.00000,0.00000,0.21487,0.00385,1.17792,0.02302,0.00000,0.00000,0.35425,0.00994,0.03867,0.00810,0.70167,0.00424
impedance_token_policy_v5,combined_extreme_stress,0.50,8,3,0.00000,0.00000,0.17690,0.00443,1.20861,0.03221,0.00000,0.00000,0.32211,0.01135,0.05598,0.01096,0.68732,0.00420
impedance_token_policy_v5,combined_extreme_stress,0.75,8,3,0.00000,0.00000,0.15624,0.00611,1.28456,0.04508,0.00000,0.00000,0.23856,0.04059,0.09182,0.00695,0.66703,0.00380
impedance_token_policy_v5,combined_extreme_stress,1.00,8,3,0.00000,0.00000,0.14714,0.00718,1.38444,0.04219,0.00000,0.00000,0.24311,0.03009,0.12279,0.01810,0.66264,0.00706
impedance_token_policy_v5,combined_stress,0.00,8,3,0.00000,0.00000,0.27111,0.00714,1.01773,0.01790,0.00000,0.00000,0.39333,0.01295,0.00871,0.00239,0.71916,0.00349
impedance_token_policy_v5,combined_stress,0.25,8,3,0.00000,0.00000,0.20707,0.00327,1.12471,0.02027,0.00000,0.00000,0.33858,0.01280,0.02074,0.00495,0.69724,0.00489
impedance_token_policy_v5,combined_stress,0.50,8,3,0.00000,0.00000,0.17617,0.00304,1.19993,0.02621,0.00000,0.00000,0.22824,0.04602,0.05358,0.00903,0.67521,0.00426
impedance_token_policy_v5,combined_stress,0.75,8,3,0.00000,0.00000,0.15276,0.00617,1.27586,0.03429,0.00000,0.00000,0.15126,0.02697,0.08107,0.01330,0.65866,0.00428
impedance_token_policy_v5,combined_stress,1.00,8,3,0.00000,0.00000,0.13801,0.00516,1.33804,0.03403,0.00000,0.00000,0.09479,0.03325,0.12501,0.01279,0.63651,0.01152
impedance_token_policy_v5,friction_slip_shift,0.00,8,3,0.00000,0.00000,0.27067,0.00528,0.90033,0.00914,0.00000,0.00000,0.37380,0.01700,0.00000,0.00000,0.70851,0.00248
impedance_token_policy_v5,friction_slip_shift,0.25,8,3,0.00000,0.00000,0.20658,0.00312,1.03632,0.00825,0.00000,0.00000,0.33857,0.02860,0.00435,0.00224,0.69379,0.00314
impedance_token_policy_v5,friction_slip_shift,0.50,8,3,0.00000,0.00000,0.17689,0.00504,1.13181,0.03275,0.00000,0.00000,0.21049,0.04062,0.02119,0.00424,0.67261,0.00503
impedance_token_policy_v5,friction_slip_shift,0.75,8,3,0.00000,0.00000,0.14506,0.00314,1.18142,0.02834,0.00000,0.00000,0.17006,0.03221,0.06083,0.01639,0.66290,0.00450
impedance_token_policy_v5,friction_slip_shift,1.00,8,3,0.00000,0.00000,0.13198,0.00489,1.31983,0.02761,0.00000,0.00000,0.09405,0.03885,0.10056,0.01586,0.64163,0.00743
