method,split,stress_level,seeds,episodes_per_seed,mean_success_rate,ci95_success_rate,mean_normalized_force_error,ci95_normalized_force_error,mean_peak_overshoot,ci95_peak_overshoot,mean_safety_violation_rate,ci95_safety_violation_rate,mean_slip_rate,ci95_slip_rate,mean_chatter_rate,ci95_chatter_rate,mean_final_progress,ci95_final_progress
learned_gain_regressor,combined_extreme_stress,0.00,8,3,0.00000,0.00000,0.19469,0.00425,1.23838,0.03144,0.00000,0.00000,0.63374,0.00773,0.05426,0.00464,0.85129,0.00119
learned_gain_regressor,combined_extreme_stress,0.25,8,3,0.12500,0.11955,0.18651,0.00692,1.38032,0.05485,0.00000,0.00000,0.61532,0.00448,0.06356,0.00484,0.83635,0.00271
learned_gain_regressor,combined_extreme_stress,0.50,8,3,0.75000,0.10693,0.17576,0.00616,1.49640,0.03385,0.00000,0.00000,0.59067,0.00791,0.08323,0.00914,0.82232,0.00359
learned_gain_regressor,combined_extreme_stress,0.75,8,3,0.95833,0.08167,0.15799,0.00471,1.57217,0.07218,0.00385,0.00247,0.56846,0.00501,0.10999,0.00921,0.80151,0.00344
learned_gain_regressor,combined_extreme_stress,1.00,8,3,0.95833,0.08167,0.15208,0.00822,1.64822,0.06942,0.01216,0.00773,0.54412,0.01096,0.13768,0.01067,0.78800,0.00444
learned_gain_regressor,combined_stress,0.00,8,3,0.00000,0.00000,0.19343,0.00659,1.17824,0.01994,0.00000,0.00000,0.63930,0.00693,0.03651,0.00652,0.85324,0.00130
learned_gain_regressor,combined_stress,0.25,8,3,0.16667,0.17461,0.17596,0.00530,1.36409,0.03368,0.00000,0.00000,0.61781,0.00692,0.04905,0.01056,0.83519,0.00311
learned_gain_regressor,combined_stress,0.50,8,3,0.54167,0.17186,0.16897,0.00654,1.56208,0.03985,0.00145,0.00138,0.60146,0.00481,0.07421,0.01049,0.81744,0.00379
learned_gain_regressor,combined_stress,0.75,8,3,0.91667,0.16333,0.15159,0.00815,1.55694,0.08938,0.00433,0.00331,0.57107,0.00998,0.09625,0.01288,0.79620,0.00475
learned_gain_regressor,combined_stress,1.00,8,3,0.83333,0.12347,0.14771,0.00448,1.68283,0.12183,0.00818,0.00643,0.49748,0.03159,0.12705,0.01227,0.76856,0.00760
learned_gain_regressor,friction_slip_shift,0.00,8,3,0.00000,0.00000,0.18558,0.00714,1.09758,0.01260,0.00000,0.00000,0.63885,0.00509,0.00048,0.00094,0.85408,0.00134
learned_gain_regressor,friction_slip_shift,0.25,8,3,0.08333,0.16333,0.16970,0.00718,1.30493,0.01571,0.00000,0.00000,0.62253,0.00826,0.01541,0.00571,0.83569,0.00206
learned_gain_regressor,friction_slip_shift,0.50,8,3,0.54167,0.17186,0.16425,0.01000,1.46796,0.06555,0.00000,0.00000,0.60058,0.00637,0.03463,0.00757,0.81947,0.00188
learned_gain_regressor,friction_slip_shift,0.75,8,3,1.00000,0.00000,0.14351,0.00599,1.54340,0.05394,0.00000,0.00000,0.57295,0.00433,0.08377,0.00512,0.80180,0.00316
learned_gain_regressor,friction_slip_shift,1.00,8,3,1.00000,0.00000,0.14544,0.00453,1.59506,0.08579,0.00674,0.00489,0.52135,0.01572,0.09813,0.01495,0.77746,0.00357
oracle_impedance,combined_extreme_stress,0.00,8,3,0.04167,0.08167,0.12417,0.00498,1.27080,0.02880,0.00000,0.00000,0.62319,0.00403,0.04944,0.00561,0.85453,0.00148
oracle_impedance,combined_extreme_stress,0.25,8,3,0.50000,0.17461,0.12041,0.00289,1.40429,0.05921,0.00047,0.00093,0.59785,0.00687,0.07310,0.00876,0.83449,0.00292
oracle_impedance,combined_extreme_stress,0.50,8,3,0.95833,0.08167,0.11495,0.00216,1.40490,0.03135,0.00000,0.00000,0.57099,0.00657,0.10588,0.01198,0.81241,0.00378
oracle_impedance,combined_extreme_stress,0.75,8,3,0.91667,0.10693,0.12148,0.00326,1.47081,0.06320,0.00047,0.00092,0.50790,0.02213,0.13810,0.01322,0.78389,0.00434
oracle_impedance,combined_extreme_stress,1.00,8,3,0.87500,0.11955,0.12946,0.00709,1.48588,0.03834,0.00047,0.00093,0.43957,0.02356,0.16603,0.00626,0.76636,0.00500
oracle_impedance,combined_stress,0.00,8,3,0.04167,0.08167,0.11999,0.00368,1.22857,0.02903,0.00000,0.00000,0.62373,0.00342,0.03765,0.00766,0.85665,0.00171
oracle_impedance,combined_stress,0.25,8,3,0.41667,0.20475,0.11387,0.00316,1.32348,0.04209,0.00000,0.00000,0.60676,0.00570,0.06185,0.00850,0.83288,0.00415
oracle_impedance,combined_stress,0.50,8,3,0.83333,0.12347,0.11046,0.00238,1.39516,0.04895,0.00000,0.00000,0.58408,0.00543,0.09452,0.00744,0.80638,0.00389
oracle_impedance,combined_stress,0.75,8,3,0.87500,0.17186,0.11231,0.00405,1.36951,0.04691,0.00000,0.00000,0.51864,0.03007,0.12290,0.00860,0.77894,0.00447
oracle_impedance,combined_stress,1.00,8,3,0.66667,0.17461,0.13123,0.01303,1.43559,0.05309,0.00094,0.00185,0.35700,0.04758,0.14140,0.00884,0.74892,0.00858
oracle_impedance,friction_slip_shift,0.00,8,3,0.00000,0.00000,0.11027,0.00146,1.13266,0.02150,0.01528,0.02994,0.62714,0.00486,0.00329,0.00218,0.85714,0.00123
oracle_impedance,friction_slip_shift,0.25,8,3,0.08333,0.10693,0.10862,0.00222,1.27059,0.02354,0.00093,0.00181,0.61207,0.00496,0.02462,0.00641,0.83379,0.00235
oracle_impedance,friction_slip_shift,0.50,8,3,0.75000,0.10693,0.10496,0.00191,1.34597,0.03486,0.00000,0.00000,0.58593,0.00573,0.05964,0.01316,0.80894,0.00243
oracle_impedance,friction_slip_shift,0.75,8,3,1.00000,0.00000,0.10916,0.00701,1.28663,0.00779,0.00000,0.00000,0.52658,0.01685,0.10019,0.00623,0.78424,0.00304
oracle_impedance,friction_slip_shift,1.00,8,3,0.83333,0.12347,0.12659,0.00754,1.34999,0.04322,0.00047,0.00092,0.39530,0.01831,0.11034,0.01044,0.75649,0.00325
random_forest_gain_regressor,combined_extreme_stress,0.00,8,3,0.70833,0.14803,0.20679,0.00637,1.21449,0.02006,0.00000,0.00000,0.58768,0.00455,0.05503,0.00901,0.80633,0.00199
random_forest_gain_regressor,combined_extreme_stress,0.25,8,3,0.87500,0.11955,0.19809,0.00515,1.36065,0.02841,0.00000,0.00000,0.56784,0.00829,0.05852,0.00827,0.79340,0.00283
random_forest_gain_regressor,combined_extreme_stress,0.50,8,3,1.00000,0.00000,0.18176,0.00875,1.49007,0.05998,0.00049,0.00096,0.53893,0.00904,0.09631,0.01029,0.77850,0.00187
random_forest_gain_regressor,combined_extreme_stress,0.75,8,3,1.00000,0.00000,0.18138,0.00464,1.58686,0.05876,0.00197,0.00206,0.51931,0.00989,0.10198,0.01392,0.76250,0.00282
