method,split,seeds,episodes_per_seed,mean_success_rate,ci95_success_rate,mean_mean_mean_abs_force_error,ci95_mean_mean_abs_force_error,mean_mean_post_shift_force_error,ci95_mean_post_shift_force_error,mean_mean_normalized_force_error,ci95_mean_normalized_force_error,mean_mean_peak_overshoot,ci95_mean_peak_overshoot,mean_mean_safety_violation_rate,ci95_mean_safety_violation_rate,mean_mean_slip_rate,ci95_mean_slip_rate,mean_mean_chatter_rate,ci95_mean_chatter_rate,mean_mean_settling_latency,ci95_mean_settling_latency,mean_mean_energy,ci95_mean_energy,mean_mean_final_progress,ci95_mean_final_progress,mean_mean_token_switches,ci95_mean_token_switches
adaptive_impedance_control,actuator_saturation,8,6,0.95833,0.05346,1.88501,0.04455,0.84393,0.06979,0.10982,0.00221,1.60954,0.05425,0.00796,0.00352,0.57969,0.00213,0.03488,0.00524,5.18750,0.25779,0.93366,0.01616,0.83539,0.00109,0.00000,0.00000
adaptive_impedance_control,combined_extreme_stress,8,6,0.97917,0.04083,2.22240,0.06937,1.90152,0.22980,0.12008,0.00427,1.60725,0.04654,0.00423,0.00293,0.53046,0.00311,0.13365,0.00568,6.31250,0.76719,0.85227,0.01957,0.80062,0.00270,0.00000,0.00000
adaptive_impedance_control,combined_stress,8,6,0.93750,0.08593,2.04487,0.05530,1.09284,0.10592,0.12111,0.00335,1.71426,0.06405,0.01335,0.00671,0.54280,0.00579,0.08184,0.01325,5.20833,0.32520,0.84103,0.01301,0.79549,0.00217,0.00000,0.00000
adaptive_impedance_control,contact_transition,8,6,0.97917,0.04083,1.62005,0.02783,0.67639,0.03607,0.10905,0.00212,1.45092,0.02297,0.00023,0.00046,0.57405,0.00232,0.03116,0.00469,5.00000,0.00000,0.88069,0.01472,0.82783,0.00180,0.00000,0.00000
adaptive_impedance_control,delayed_mode_switch,8,6,0.54167,0.11955,2.09658,0.06417,2.22651,0.50044,0.12491,0.00453,2.01711,0.08388,0.03349,0.00467,0.55962,0.00422,0.04030,0.00586,6.64583,1.03566,0.89338,0.02051,0.83086,0.00162,0.00000,0.00000
adaptive_impedance_control,friction_slip_shift,8,6,0.97917,0.04083,1.41015,0.03543,0.49513,0.04824,0.11865,0.00383,1.26112,0.01433,0.00000,0.00000,0.57149,0.00222,0.01662,0.00306,5.02083,0.04083,0.91844,0.01962,0.82522,0.00252,0.00000,0.00000
adaptive_impedance_control,nominal_surface_tracking,8,6,0.72917,0.12250,1.34820,0.01976,0.36639,0.01359,0.11175,0.00229,1.25308,0.01143,0.00000,0.00000,0.59387,0.00313,0.01311,0.00098,5.00000,0.00000,0.94747,0.01621,0.85467,0.00049,0.00000,0.00000
adaptive_impedance_control,sensor_noise_burst,8,6,0.87500,0.10237,1.74976,0.03110,0.65154,0.03934,0.10897,0.00245,1.43032,0.03769,0.00140,0.00180,0.58825,0.00234,0.07093,0.01025,5.02083,0.04083,0.96164,0.01963,0.84413,0.00107,0.00000,0.00000
adaptive_impedance_control,stick_slip_cycle,8,6,0.97917,0.04083,1.39376,0.02111,0.56536,0.01666,0.10031,0.00198,1.24144,0.01670,0.00000,0.00000,0.56685,0.00333,0.03020,0.00544,5.00000,0.00000,0.88754,0.01641,0.81910,0.00259,0.00000,0.00000
adaptive_impedance_control,stiffness_shift,8,6,0.52083,0.11446,2.02783,0.04618,0.64500,0.08276,0.16899,0.00447,1.93417,0.03734,0.03232,0.00207,0.59438,0.00262,0.01406,0.00197,5.22917,0.26865,0.94710,0.02341,0.85000,0.00072,0.00000,0.00000
adaptive_impedance_control,surface_discontinuity,8,6,1.00000,0.00000,1.66071,0.03665,0.99863,0.06037,0.10139,0.00169,1.29571,0.01716,0.00000,0.00000,0.56721,0.00288,0.03888,0.00426,5.43750,0.42295,0.87975,0.01543,0.82446,0.00138,0.00000,0.00000
adaptive_impedance_control,target_force_jump,8,6,0.77083,0.08593,1.45009,0.02463,1.01803,0.07858,0.08381,0.00183,1.31252,0.02430,0.00000,0.00000,0.58523,0.00243,0.03163,0.00462,5.00000,0.00000,0.82603,0.01438,0.83643,0.00131,0.00000,0.00000
admittance_switching_control,actuator_saturation,8,6,1.00000,0.00000,1.99173,0.05189,0.99730,0.09354,0.11595,0.00256,1.64003,0.02856,0.00328,0.00151,0.54986,0.01144,0.03979,0.00352,5.16667,0.28290,1.16600,0.02012,0.80900,0.00159,0.00000,0.00000
admittance_switching_control,combined_extreme_stress,8,6,0.95833,0.05346,2.11358,0.04716,1.83547,0.15874,0.11408,0.00175,1.61141,0.04262,0.00281,0.00208,0.50257,0.00961,0.14162,0.00951,5.20833,0.23709,1.12090,0.02093,0.78147,0.00160,0.00000,0.00000
admittance_switching_control,combined_stress,8,6,0.93750,0.05978,2.03471,0.06273,1.11458,0.10767,0.12044,0.00377,1.71630,0.03908,0.00960,0.00383,0.52458,0.00822,0.08310,0.00714,5.08333,0.16333,1.13823,0.01998,0.78535,0.00206,0.00000,0.00000
admittance_switching_control,contact_transition,8,6,0.97917,0.04083,1.69134,0.04008,0.71526,0.06200,0.11381,0.00263,1.84245,0.03056,0.01147,0.00046,0.55501,0.00635,0.03347,0.00329,5.04167,0.08167,1.13718,0.01910,0.81254,0.00108,0.00000,0.00000
admittance_switching_control,delayed_mode_switch,8,6,0.66667,0.13804,2.13316,0.05661,2.07513,0.42477,0.12704,0.00415,1.95467,0.07256,0.03137,0.00583,0.52154,0.01354,0.04658,0.00401,6.39583,0.76345,1.14242,0.02003,0.79594,0.00221,0.00000,0.00000
admittance_switching_control,friction_slip_shift,8,6,1.00000,0.00000,1.42043,0.03263,0.44307,0.03607,0.11949,0.00393,1.51423,0.03129,0.00047,0.00060,0.55501,0.00302,0.02083,0.00343,5.00000,0.00000,1.13044,0.02114,0.81202,0.00080,0.00000,0.00000
admittance_switching_control,nominal_surface_tracking,8,6,1.00000,0.00000,1.35408,0.01971,0.27657,0.01784,0.11225,0.00215,1.60404,0.01631,0.00164,0.00108,0.56765,0.00376,0.01451,0.00216,5.00000,0.00000,1.14184,0.02015,0.82717,0.00019,0.00000,0.00000
admittance_switching_control,sensor_noise_burst,8,6,1.00000,0.00000,1.79407,0.04238,0.75740,0.04801,0.11173,0.00251,1.52991,0.01614,0.00047,0.00060,0.56074,0.00643,0.07231,0.00560,5.00000,0.00000,1.15870,0.02089,0.81797,0.00077,0.00000,0.00000
