method,split,seeds,episodes_per_seed,mean_success_rate,ci95_success_rate,mean_mean_mean_abs_force_error,ci95_mean_mean_abs_force_error,mean_mean_post_shift_force_error,ci95_mean_post_shift_force_error,mean_mean_normalized_force_error,ci95_mean_normalized_force_error,mean_mean_peak_overshoot,ci95_mean_peak_overshoot,mean_mean_safety_violation_rate,ci95_mean_safety_violation_rate,mean_mean_slip_rate,ci95_mean_slip_rate,mean_mean_chatter_rate,ci95_mean_chatter_rate,mean_mean_settling_latency,ci95_mean_settling_latency,mean_mean_energy,ci95_mean_energy,mean_mean_final_progress,ci95_mean_final_progress,mean_mean_token_switches,ci95_mean_token_switches
admittance_switching_control,stick_slip_cycle,8,6,1.00000,0.00000,1.46120,0.02035,0.63239,0.05357,0.10512,0.00140,1.49020,0.02358,0.00047,0.00060,0.54729,0.00499,0.03207,0.00401,5.00000,0.00000,1.11965,0.01943,0.80558,0.00123,0.00000,0.00000
admittance_switching_control,stiffness_shift,8,6,0.87500,0.10237,2.15532,0.04889,0.67111,0.09163,0.17963,0.00451,1.88178,0.03222,0.02973,0.00298,0.55922,0.00707,0.02083,0.00162,5.58333,0.44087,1.17851,0.02187,0.81532,0.00063,0.00000,0.00000
admittance_switching_control,surface_discontinuity,8,6,1.00000,0.00000,1.61262,0.03274,0.98813,0.05177,0.09852,0.00218,1.64268,0.04487,0.00375,0.00155,0.55220,0.00343,0.04260,0.00292,5.00000,0.00000,1.12501,0.01971,0.81089,0.00093,0.00000,0.00000
admittance_switching_control,target_force_jump,8,6,0.93750,0.05978,1.66380,0.04312,1.55692,0.18385,0.09610,0.00187,1.80967,0.03454,0.00867,0.00154,0.55875,0.00416,0.03371,0.00170,5.04167,0.05346,1.11828,0.01948,0.81229,0.00101,0.00000,0.00000
conformal_safety_gain,actuator_saturation,8,6,0.68750,0.14395,2.77975,0.05688,0.97989,0.07054,0.16197,0.00294,1.50666,0.04976,0.00097,0.00102,0.59431,0.00329,0.03046,0.00341,5.10417,0.16260,0.62512,0.00982,0.80840,0.00122,0.00000,0.00000
conformal_safety_gain,combined_extreme_stress,8,6,0.95833,0.05346,3.00860,0.04006,2.36993,0.24916,0.16232,0.00194,1.43440,0.04849,0.00097,0.00102,0.55278,0.00617,0.10890,0.01123,5.20833,0.17186,0.60067,0.01108,0.77857,0.00237,0.00000,0.00000
conformal_safety_gain,combined_stress,8,6,0.97917,0.04083,2.90340,0.07280,1.51602,0.11226,0.17197,0.00490,1.58627,0.07151,0.00559,0.00427,0.55506,0.00558,0.06204,0.00823,5.10417,0.12250,0.58140,0.01067,0.77014,0.00231,0.00000,0.00000
conformal_safety_gain,contact_transition,8,6,0.72917,0.08593,2.40392,0.03149,0.69183,0.05318,0.16182,0.00289,1.34859,0.02277,0.00000,0.00000,0.58997,0.00172,0.02546,0.00468,5.02083,0.04083,0.59912,0.00873,0.80186,0.00165,0.00000,0.00000
conformal_safety_gain,delayed_mode_switch,8,6,0.68750,0.14395,2.93528,0.06072,2.02389,0.37145,0.17483,0.00485,1.91079,0.07662,0.02842,0.00482,0.57519,0.00639,0.02574,0.00238,6.22917,0.71446,0.61802,0.01121,0.80356,0.00139,0.00000,0.00000
conformal_safety_gain,friction_slip_shift,8,6,0.83333,0.08730,2.19797,0.05069,0.41606,0.03460,0.18497,0.00634,1.11320,0.01943,0.00000,0.00000,0.58166,0.00266,0.00964,0.00378,5.00000,0.00000,0.61251,0.01102,0.79931,0.00227,0.00000,0.00000
conformal_safety_gain,nominal_surface_tracking,8,6,0.29167,0.10237,2.17360,0.01356,0.29952,0.01779,0.18016,0.00175,1.06862,0.00773,0.00000,0.00000,0.60654,0.00424,0.00338,0.00094,5.00000,0.00000,0.63567,0.00978,0.82722,0.00083,0.00000,0.00000
conformal_safety_gain,sensor_noise_burst,8,6,0.70833,0.11955,2.63033,0.05110,0.71466,0.04855,0.16386,0.00257,1.36703,0.02695,0.00048,0.00062,0.59500,0.00400,0.06794,0.00557,5.02083,0.04083,0.63906,0.01055,0.81561,0.00122,0.00000,0.00000
conformal_safety_gain,stick_slip_cycle,8,6,0.91667,0.08731,2.21279,0.02017,0.61170,0.04481,0.15934,0.00294,1.12606,0.02290,0.00000,0.00000,0.57758,0.00268,0.02103,0.00361,5.00000,0.00000,0.60046,0.00991,0.79323,0.00236,0.00000,0.00000
conformal_safety_gain,stiffness_shift,8,6,0.08333,0.08731,2.91728,0.05259,0.59187,0.08698,0.24311,0.00524,1.81319,0.02578,0.02171,0.00292,0.60568,0.00528,0.01255,0.00176,5.25000,0.30244,0.63484,0.01253,0.81930,0.00077,0.00000,0.00000
conformal_safety_gain,surface_discontinuity,8,6,0.87500,0.08167,2.44100,0.04294,1.01587,0.05023,0.14912,0.00188,1.14787,0.01843,0.00000,0.00000,0.58227,0.00361,0.02692,0.00423,5.00000,0.00000,0.59912,0.00954,0.79866,0.00129,0.00000,0.00000
conformal_safety_gain,target_force_jump,8,6,0.33333,0.17461,2.23948,0.03143,1.35905,0.13389,0.12947,0.00330,1.18967,0.01919,0.00000,0.00000,0.60379,0.00403,0.02397,0.00374,5.00000,0.00000,0.58069,0.00936,0.80821,0.00123,0.00000,0.00000
ensemble_uncertainty_gain,actuator_saturation,8,6,0.52083,0.18965,2.88412,0.06453,0.88815,0.09486,0.16803,0.00363,1.52513,0.04624,0.00242,0.00172,0.59972,0.00283,0.02788,0.00227,5.31250,0.42965,0.61655,0.01222,0.81278,0.00113,0.00000,0.00000
ensemble_uncertainty_gain,combined_extreme_stress,8,6,0.95833,0.05346,3.19426,0.05361,2.29994,0.17047,0.17239,0.00316,1.58812,0.04350,0.00416,0.00168,0.55825,0.00476,0.10111,0.01000,5.91667,0.71729,0.59534,0.01344,0.78082,0.00225,0.00000,0.00000
ensemble_uncertainty_gain,combined_stress,8,6,0.91667,0.08731,3.05762,0.08234,1.27419,0.19920,0.18105,0.00457,1.68098,0.07387,0.01395,0.00927,0.56534,0.00586,0.06739,0.00412,5.39583,0.50884,0.57376,0.01305,0.77457,0.00227,0.00000,0.00000
ensemble_uncertainty_gain,contact_transition,8,6,0.45833,0.11955,2.45116,0.05288,0.67334,0.05919,0.16497,0.00428,1.37331,0.02354,0.00000,0.00000,0.59763,0.00370,0.02361,0.00323,5.10417,0.20417,0.59143,0.01311,0.80661,0.00151,0.00000,0.00000
ensemble_uncertainty_gain,delayed_mode_switch,8,6,0.50000,0.15122,3.19896,0.09990,2.68682,0.67038,0.19050,0.00695,1.96045,0.07258,0.03784,0.00603,0.58158,0.00572,0.02859,0.00525,7.75000,1.59317,0.60972,0.01020,0.80739,0.00149,0.00000,0.00000
ensemble_uncertainty_gain,friction_slip_shift,8,6,0.70833,0.11955,2.20224,0.06237,0.49277,0.05181,0.18544,0.00714,1.13595,0.01909,0.00000,0.00000,0.58824,0.00324,0.01067,0.00331,5.00000,0.00000,0.60722,0.01240,0.80481,0.00224,0.00000,0.00000
ensemble_uncertainty_gain,nominal_surface_tracking,8,6,0.20833,0.08167,2.14781,0.04534,0.32942,0.02646,0.17800,0.00362,1.08780,0.01037,0.00000,0.00000,0.61390,0.00246,0.00388,0.00161,5.00000,0.00000,0.62792,0.01201,0.83095,0.00094,0.00000,0.00000
ensemble_uncertainty_gain,sensor_noise_burst,8,6,0.43750,0.13718,2.62223,0.05407,0.66630,0.03924,0.16342,0.00285,1.38110,0.02586,0.00000,0.00000,0.60344,0.00310,0.06243,0.00796,5.02083,0.04083,0.62985,0.01138,0.81986,0.00101,0.00000,0.00000
ensemble_uncertainty_gain,stick_slip_cycle,8,6,0.85417,0.09638,2.22198,0.02995,0.60718,0.03651,0.15998,0.00371,1.14376,0.02594,0.00000,0.00000,0.58419,0.00477,0.02381,0.00367,5.00000,0.00000,0.59392,0.01094,0.79838,0.00224,0.00000,0.00000
ensemble_uncertainty_gain,stiffness_shift,8,6,0.02083,0.04083,3.13353,0.04881,0.80981,0.12112,0.26108,0.00481,1.83611,0.02503,0.03029,0.00268,0.61484,0.00323,0.01260,0.00189,5.91667,0.57912,0.62589,0.01087,0.82335,0.00087,0.00000,0.00000
ensemble_uncertainty_gain,surface_discontinuity,8,6,0.58333,0.10693,2.54869,0.04045,0.94305,0.05170,0.15566,0.00294,1.26977,0.02320,0.00000,0.00000,0.59081,0.00271,0.03068,0.00483,5.10417,0.16260,0.59478,0.01159,0.80330,0.00137,0.00000,0.00000
ensemble_uncertainty_gain,target_force_jump,8,6,0.20833,0.10237,2.23545,0.04187,1.22311,0.11741,0.12930,0.00398,1.21226,0.02192,0.00000,0.00000,0.60888,0.00232,0.02359,0.00333,5.00000,0.00000,0.57353,0.01010,0.81282,0.00117,0.00000,0.00000
fixed_impedance,actuator_saturation,8,6,0.97917,0.04083,3.39640,0.09348,3.37476,0.14505,0.19783,0.00612,1.72571,0.01843,0.01796,0.00407,0.56471,0.00390,0.03966,0.00289,12.06250,5.53441,0.92844,0.01840,0.81296,0.00078,0.00000,0.00000
fixed_impedance,combined_extreme_stress,8,6,0.39583,0.15043,4.40426,0.07390,7.60520,0.19982,0.23780,0.00645,1.71269,0.01626,0.01207,0.00313,0.50450,0.00420,0.08688,0.00671,94.10417,3.71583,0.87764,0.01909,0.77674,0.00219,0.00000,0.00000
fixed_impedance,combined_stress,8,6,0.25000,0.10693,4.19312,0.09267,5.72150,0.14104,0.24830,0.00690,1.68938,0.03358,0.00970,0.00452,0.52817,0.00488,0.05942,0.00736,94.33333,3.26667,0.85916,0.01945,0.78137,0.00160,0.00000,0.00000
fixed_impedance,contact_transition,8,6,0.93750,0.08593,2.90028,0.07374,2.32215,0.12090,0.19516,0.00399,1.87654,0.02708,0.04189,0.00440,0.56555,0.00317,0.03881,0.00296,5.87500,0.78027,0.88917,0.02112,0.81202,0.00088,0.00000,0.00000
fixed_impedance,delayed_mode_switch,8,6,0.79167,0.10237,3.59021,0.07963,5.28403,0.20191,0.21380,0.00507,1.84338,0.03610,0.03456,0.00721,0.54782,0.00480,0.04120,0.00395,72.85416,16.51530,0.89683,0.01875,0.80961,0.00145,0.00000,0.00000
fixed_impedance,friction_slip_shift,8,6,0.81250,0.09638,2.28254,0.04982,0.64692,0.06938,0.19190,0.00381,1.84694,0.04670,0.04067,0.00607,0.56625,0.00268,0.02198,0.00120,5.00000,0.00000,0.92395,0.01491,0.81123,0.00105,0.00000,0.00000
fixed_impedance,nominal_surface_tracking,8,6,0.93750,0.08593,2.14916,0.02900,0.38748,0.02920,0.17817,0.00318,1.83288,0.02262,0.03778,0.00485,0.57943,0.00256,0.01228,0.00100,5.00000,0.00000,0.93427,0.01670,0.82702,0.00026,0.00000,0.00000
fixed_impedance,sensor_noise_burst,8,6,0.97917,0.04083,2.87908,0.07578,1.87530,0.13394,0.17922,0.00474,1.77201,0.01973,0.02764,0.00415,0.56757,0.00333,0.06745,0.00386,5.08333,0.10693,0.94879,0.01929,0.81909,0.00062,0.00000,0.00000
fixed_impedance,stick_slip_cycle,8,6,1.00000,0.00000,2.29650,0.06131,0.90457,0.10833,0.16531,0.00379,1.84551,0.04249,0.03927,0.00591,0.55724,0.00381,0.03831,0.00409,5.00000,0.00000,0.89941,0.01784,0.80392,0.00126,0.00000,0.00000
fixed_impedance,stiffness_shift,8,6,0.00000,0.00000,3.59110,0.08848,3.23291,0.11968,0.29916,0.00654,1.75217,0.01589,0.02245,0.00612,0.57720,0.00255,0.02243,0.00246,59.97917,10.77654,0.92867,0.01726,0.82278,0.00051,0.00000,0.00000
fixed_impedance,surface_discontinuity,8,6,0.93750,0.05978,3.45275,0.08807,3.91646,0.13882,0.21094,0.00599,1.75098,0.02883,0.01989,0.00615,0.55776,0.00337,0.03385,0.00237,36.16667,8.92011,0.89263,0.01918,0.80770,0.00085,0.00000,0.00000
fixed_impedance,target_force_jump,8,6,0.89583,0.05978,2.47817,0.04835,2.13488,0.16700,0.14309,0.00222,1.93255,0.02957,0.04995,0.00496,0.56842,0.00257,0.04143,0.00387,5.00000,0.00000,0.85101,0.01846,0.81661,0.00076,0.00000,0.00000
gain_scheduled_impedance,actuator_saturation,8,6,0.14583,0.07402,2.14581,0.05768,0.88400,0.08247,0.12493,0.00290,1.53996,0.05072,0.00285,0.00200,0.60994,0.00338,0.02827,0.00386,5.12500,0.24500,0.75277,0.00957,0.85276,0.00096,0.00000,0.00000
gain_scheduled_impedance,combined_extreme_stress,8,6,0.95833,0.05346,2.43762,0.06851,1.77834,0.17437,0.13169,0.00380,1.51889,0.03940,0.00265,0.00158,0.57446,0.00528,0.11803,0.01247,5.58333,0.53106,0.67059,0.01306,0.82186,0.00231,0.00000,0.00000
gain_scheduled_impedance,combined_stress,8,6,0.85417,0.13005,2.32702,0.07473,1.06233,0.09950,0.13782,0.00500,1.64088,0.08406,0.00910,0.00548,0.58554,0.00572,0.07714,0.01240,5.14583,0.28583,0.66138,0.01031,0.81760,0.00202,0.00000,0.00000
gain_scheduled_impedance,contact_transition,8,6,0.12500,0.08167,1.80602,0.03923,0.64515,0.05187,0.12156,0.00251,1.37573,0.02883,0.00000,0.00000,0.61188,0.00354,0.02389,0.00414,5.02083,0.04083,0.69992,0.01495,0.84654,0.00154,0.00000,0.00000
gain_scheduled_impedance,delayed_mode_switch,8,6,0.37500,0.16039,2.41322,0.07019,2.12801,0.48311,0.14369,0.00516,1.94763,0.07854,0.02917,0.00525,0.59881,0.00590,0.03278,0.00654,6.60417,1.03474,0.70877,0.01248,0.84810,0.00142,0.00000,0.00000
gain_scheduled_impedance,friction_slip_shift,8,6,0.27083,0.15043,1.52859,0.05194,0.42394,0.03524,0.12875,0.00589,1.13241,0.01939,0.00000,0.00000,0.60459,0.00354,0.00975,0.00296,5.02083,0.04083,0.74025,0.01328,0.84391,0.00215,0.00000,0.00000
gain_scheduled_impedance,nominal_surface_tracking,8,6,0.00000,0.00000,1.47402,0.03330,0.27011,0.02376,0.12213,0.00243,1.08514,0.00958,0.00000,0.00000,0.62085,0.00462,0.00261,0.00120,5.00000,0.00000,0.76652,0.00800,0.86999,0.00042,0.00000,0.00000
gain_scheduled_impedance,sensor_noise_burst,8,6,0.04167,0.05346,1.92870,0.03770,0.67658,0.04333,0.12017,0.00210,1.37281,0.03111,0.00024,0.00046,0.61550,0.00366,0.05874,0.00342,5.04167,0.08167,0.78204,0.01197,0.86053,0.00098,0.00000,0.00000
gain_scheduled_impedance,stick_slip_cycle,8,6,0.54167,0.14803,1.59622,0.02862,0.58126,0.04172,0.11495,0.00327,1.15084,0.02447,0.00000,0.00000,0.60016,0.00332,0.02834,0.00479,5.00000,0.00000,0.70891,0.01080,0.83805,0.00221,0.00000,0.00000
gain_scheduled_impedance,stiffness_shift,8,6,0.02083,0.04083,2.35409,0.04081,0.66041,0.08851,0.19624,0.00421,1.85763,0.02537,0.02612,0.00282,0.61986,0.00493,0.00902,0.00198,5.50000,0.34922,0.76580,0.01543,0.86569,0.00063,0.00000,0.00000
gain_scheduled_impedance,surface_discontinuity,8,6,0.37500,0.16039,1.84947,0.03995,0.88839,0.04567,0.11300,0.00224,1.18270,0.01793,0.00000,0.00000,0.60575,0.00393,0.02765,0.00358,5.00000,0.00000,0.69942,0.01366,0.84394,0.00121,0.00000,0.00000
gain_scheduled_impedance,target_force_jump,8,6,0.04167,0.05346,1.73143,0.02914,1.23287,0.11174,0.10010,0.00303,1.21875,0.02177,0.00000,0.00000,0.62338,0.00367,0.02459,0.00423,5.00000,0.00000,0.64248,0.01093,0.85405,0.00114,0.00000,0.00000
hist_gradient_gain_regressor,actuator_saturation,8,6,0.47917,0.18965,2.81241,0.06485,0.89301,0.10069,0.16392,0.00351,1.51650,0.04943,0.00145,0.00156,0.60258,0.00614,0.03067,0.00242,5.29167,0.41756,0.62561,0.01083,0.81595,0.00123,0.00000,0.00000
hist_gradient_gain_regressor,combined_extreme_stress,8,6,0.87500,0.08167,3.22965,0.08188,2.23881,0.33720,0.17457,0.00529,1.68271,0.04066,0.00762,0.00296,0.55815,0.00727,0.11121,0.00780,6.93750,1.04573,0.60484,0.01121,0.78370,0.00262,0.00000,0.00000
hist_gradient_gain_regressor,combined_stress,8,6,0.91667,0.06174,3.02564,0.09307,1.18454,0.18911,0.17915,0.00468,1.67637,0.06364,0.01734,0.00916,0.55990,0.00795,0.06699,0.00791,5.75000,0.72258,0.58329,0.01297,0.77607,0.00227,0.00000,0.00000
hist_gradient_gain_regressor,contact_transition,8,6,0.54167,0.14803,2.35655,0.03568,0.64585,0.06061,0.15869,0.00312,1.35402,0.02034,0.00000,0.00000,0.59930,0.00719,0.02402,0.00453,5.12500,0.24500,0.60159,0.00853,0.80910,0.00174,0.00000,0.00000
hist_gradient_gain_regressor,delayed_mode_switch,8,6,0.50000,0.12347,3.17252,0.12602,2.83500,0.73036,0.18898,0.00867,1.92630,0.07412,0.03428,0.00748,0.58542,0.00620,0.03182,0.00498,8.16667,1.78176,0.61837,0.00950,0.81233,0.00156,0.00000,0.00000
hist_gradient_gain_regressor,friction_slip_shift,8,6,0.68750,0.15663,2.10522,0.06678,0.46712,0.04902,0.17730,0.00796,1.11544,0.01733,0.00000,0.00000,0.59152,0.00592,0.00986,0.00324,5.00000,0.00000,0.61765,0.00867,0.80841,0.00268,0.00000,0.00000
hist_gradient_gain_regressor,nominal_surface_tracking,8,6,0.06250,0.05978,2.07433,0.02505,0.35750,0.01975,0.17188,0.00235,1.07340,0.01081,0.00000,0.00000,0.62014,0.00282,0.00603,0.00231,5.00000,0.00000,0.63973,0.00977,0.83687,0.00089,0.00000,0.00000
hist_gradient_gain_regressor,sensor_noise_burst,8,6,0.31250,0.17932,2.52556,0.06042,0.64676,0.03121,0.15736,0.00383,1.35441,0.02574,0.00000,0.00000,0.60854,0.00437,0.06518,0.00595,5.00000,0.00000,0.64438,0.01063,0.82592,0.00117,0.00000,0.00000
hist_gradient_gain_regressor,stick_slip_cycle,8,6,0.77083,0.17393,2.12375,0.04268,0.61378,0.06689,0.15301,0.00433,1.12813,0.03286,0.00000,0.00000,0.58584,0.00655,0.02298,0.00449,5.02083,0.04083,0.60356,0.00821,0.80302,0.00269,0.00000,0.00000
hist_gradient_gain_regressor,stiffness_shift,8,6,0.02083,0.04083,3.12810,0.06813,0.89150,0.12579,0.26067,0.00659,1.81397,0.02420,0.02630,0.00390,0.61752,0.00544,0.01328,0.00232,6.02083,0.63390,0.63915,0.01109,0.83014,0.00082,0.00000,0.00000
hist_gradient_gain_regressor,surface_discontinuity,8,6,0.64583,0.17932,2.53280,0.06038,0.98031,0.08126,0.15465,0.00263,1.28960,0.02033,0.00000,0.00000,0.59381,0.00716,0.02887,0.00253,5.14583,0.20878,0.60313,0.00667,0.80610,0.00133,0.00000,0.00000
hist_gradient_gain_regressor,target_force_jump,8,6,0.10417,0.10581,2.14303,0.04072,1.27040,0.14471,0.12389,0.00347,1.20079,0.02633,0.00000,0.00000,0.61793,0.00503,0.02688,0.00389,5.00000,0.00000,0.58320,0.00646,0.81715,0.00125,0.00000,0.00000
impedance_token_policy_v4,actuator_saturation,8,6,0.12500,0.08167,2.75793,0.06042,2.17339,0.06616,0.16063,0.00356,1.38473,0.04510,0.00000,0.00000,0.47260,0.01115,0.02063,0.00332,5.02083,0.04083,0.78066,0.01076,0.73238,0.00158,61.45833,1.35920
impedance_token_policy_v4,combined_extreme_stress,8,6,0.00000,0.00000,2.64605,0.03944,2.06651,0.14648,0.14290,0.00267,1.36183,0.03051,0.00024,0.00048,0.40928,0.01408,0.09535,0.00768,5.02083,0.04083,0.76608,0.01074,0.71857,0.00340,64.56250,1.67360
impedance_token_policy_v4,combined_stress,8,6,0.00000,0.00000,2.53097,0.06871,1.57713,0.11693,0.14995,0.00406,1.45235,0.05600,0.00145,0.00156,0.36803,0.00818,0.06283,0.00737,5.04167,0.05346,0.79251,0.01212,0.71906,0.00255,68.68750,2.70959
impedance_token_policy_v4,contact_transition,8,6,0.00000,0.00000,2.36618,0.04397,1.87337,0.08893,0.15928,0.00312,1.23967,0.03580,0.00000,0.00000,0.44239,0.01088,0.02191,0.00371,5.08333,0.06174,0.76134,0.01426,0.72402,0.00155,63.79167,1.13790
impedance_token_policy_v4,delayed_mode_switch,8,6,0.43750,0.13718,2.65817,0.07682,1.81318,0.28207,0.15831,0.00553,1.69255,0.07565,0.01037,0.00310,0.50146,0.00896,0.02919,0.00490,5.91667,0.55903,0.74128,0.00606,0.73900,0.00178,52.35417,1.26282
impedance_token_policy_v4,friction_slip_shift,8,6,0.08334,0.06174,2.23817,0.03286,1.21341,0.06021,0.18816,0.00499,1.06655,0.00688,0.00000,0.00000,0.44537,0.01216,0.00839,0.00293,5.02083,0.04083,0.78893,0.01080,0.72812,0.00226,61.87500,1.72939
impedance_token_policy_v4,nominal_surface_tracking,8,6,0.93750,0.05978,2.27172,0.02669,1.13409,0.07289,0.18828,0.00206,1.03920,0.00973,0.00000,0.00000,0.55421,0.00536,0.00455,0.00187,5.00000,0.00000,0.76064,0.00808,0.75739,0.00237,49.97917,0.90191
impedance_token_policy_v4,sensor_noise_burst,8,6,0.25000,0.06173,2.67877,0.04898,2.12021,0.09683,0.16682,0.00153,1.26173,0.02131,0.00000,0.00000,0.50576,0.00862,0.04958,0.00772,5.10417,0.10581,0.78282,0.01125,0.73800,0.00120,60.33334,1.51469
