split,reference,comparison,paired_success_diff,ci95_success_diff,paired_force_error_reduction,paired_safety_reduction,paired_slip_reduction,paired_chatter_reduction,reference_better_seeds,seeds
actuator_saturation,impedance_token_policy_v5,adaptive_impedance_control,-0.95833,0.05346,-0.08021,0.00796,0.32049,0.01978,0,8
actuator_saturation,impedance_token_policy_v5,admittance_switching_control,-1.00000,0.00000,-0.07408,0.00328,0.29066,0.02469,0,8
actuator_saturation,impedance_token_policy_v5,conformal_safety_gain,-0.68750,0.14395,-0.02806,0.00097,0.33511,0.01536,0,8
actuator_saturation,impedance_token_policy_v5,ensemble_uncertainty_gain,-0.52083,0.18965,-0.02200,0.00242,0.34053,0.01278,0,8
actuator_saturation,impedance_token_policy_v5,fixed_impedance,-0.97917,0.04083,0.00780,0.01796,0.30551,0.02456,0,8
actuator_saturation,impedance_token_policy_v5,gain_scheduled_impedance,-0.14583,0.07402,-0.06510,0.00285,0.35074,0.01317,0,8
actuator_saturation,impedance_token_policy_v5,hist_gradient_gain_regressor,-0.47917,0.18965,-0.02611,0.00145,0.34338,0.01557,0,8
actuator_saturation,impedance_token_policy_v5,impedance_token_policy_v4,-0.12500,0.08167,-0.02940,0.00000,0.21340,0.00553,0,8
actuator_saturation,impedance_token_policy_v5,learned_gain_regressor,-0.18750,0.13004,-0.02096,0.00647,0.35529,0.01028,0,8
actuator_saturation,impedance_token_policy_v5,oracle_impedance,-0.54167,0.13455,-0.08829,0.00516,0.34148,0.01520,0,8
actuator_saturation,impedance_token_policy_v5,random_forest_gain_regressor,-0.89583,0.08593,-0.02062,0.00170,0.31063,0.01401,0,8
actuator_saturation,impedance_token_policy_v5,risk_averse_impedance,0.00000,0.00000,0.04153,0.00000,-0.20991,0.00031,0,8
actuator_saturation,impedance_token_policy_v5,robust_mpc_impedance,0.00000,0.00000,0.02616,0.00000,0.13055,0.00543,0,8
actuator_saturation,impedance_token_policy_v5,token_no_memory_ablation,-0.97917,0.04083,-0.02185,0.00024,0.24740,0.01068,0,8
combined_extreme_stress,impedance_token_policy_v5,adaptive_impedance_control,-0.97917,0.04083,-0.04534,0.00398,0.29322,0.06601,0,8
combined_extreme_stress,impedance_token_policy_v5,admittance_switching_control,-0.95833,0.05346,-0.05135,0.00257,0.26533,0.07398,0,8
combined_extreme_stress,impedance_token_policy_v5,conformal_safety_gain,-0.95833,0.05346,-0.00310,0.00073,0.31554,0.04126,0,8
combined_extreme_stress,impedance_token_policy_v5,ensemble_uncertainty_gain,-0.95833,0.05346,0.00696,0.00392,0.32101,0.03347,0,8
combined_extreme_stress,impedance_token_policy_v5,fixed_impedance,-0.39583,0.15043,0.07238,0.01183,0.26725,0.01924,0,8
combined_extreme_stress,impedance_token_policy_v5,gain_scheduled_impedance,-0.95833,0.05346,-0.03374,0.00241,0.33721,0.05039,0,8
combined_extreme_stress,impedance_token_policy_v5,hist_gradient_gain_regressor,-0.87500,0.08167,0.00914,0.00738,0.32090,0.04357,0,8
combined_extreme_stress,impedance_token_policy_v5,impedance_token_policy_v4,0.00000,0.00000,-0.02252,0.00000,0.17204,0.02771,0,8
combined_extreme_stress,impedance_token_policy_v5,learned_gain_regressor,-0.81250,0.11446,-0.00018,0.00532,0.33594,0.03014,0,8
combined_extreme_stress,impedance_token_policy_v5,oracle_impedance,-0.93750,0.08593,-0.06230,0.00163,0.25056,0.07811,0,8
combined_extreme_stress,impedance_token_policy_v5,random_forest_gain_regressor,-0.93750,0.05978,0.00952,0.00883,0.29227,0.03693,0,8
combined_extreme_stress,impedance_token_policy_v5,risk_averse_impedance,0.00000,0.00000,0.03711,-0.00024,-0.23422,-0.00580,0,8
combined_extreme_stress,impedance_token_policy_v5,robust_mpc_impedance,0.00000,0.00000,0.02459,0.00027,0.10643,0.01899,0,8
combined_extreme_stress,impedance_token_policy_v5,token_no_memory_ablation,-0.14583,0.11446,-0.00926,0.00098,0.22401,0.03992,0,8
combined_stress,impedance_token_policy_v5,adaptive_impedance_control,-0.93750,0.08593,-0.05925,0.01311,0.42902,0.04020,0,8
combined_stress,impedance_token_policy_v5,admittance_switching_control,-0.93750,0.05978,-0.05993,0.00936,0.41080,0.04146,0,8
