method,split,seed,episode,stress_level,success,contact_ratio,mean_abs_force_error,post_shift_force_error,normalized_force_error,peak_overshoot,max_penetration,safety_violation_rate,slip_rate,chatter_rate,chatter_crossings,settling_latency,energy,work,final_progress,final_k_est,final_mu_est,token_switches,trajectory_samples
token_no_transition_planner,combined_stress,5,1006,,1,0.95000,5.36064,6.37552,0.33891,0.75440,0.01750,0.00000,0.02632,0.03509,4,120,3.63867,0.85397,0.80632,768.91111,0.48394,57,0:x-0.119:y-0.435:f0.24:tf9.91:p0.0000:tok1;15:x0.016:y-0.413:f4.44:tf9.91:p0.0155:tok2;30:x0.015:y-0.284:f6.29:tf9.91:p0.0153:tok3;45:x0.018:y-0.129:f6.81:tf9.91:p0.0175:tok2;60:x0.004:y-0.001:f3.48:tf9.91:p0.0038:tok1;75:x0.012:y0.032:f8.80:tf15.82:p0.0121:tok5;90:x0.011:y0.075:f9.07:tf15.82:p0.0113:tok5;105:x0.011:y0.186:f9.55:tf15.82:p0.0113:tok2;119:x0.012:y0.262:f9.05:tf15.82:p0.0120:tok5
token_no_safety_penalty,combined_stress,5,1006,,1,0.95000,5.32276,6.33967,0.33651,0.85228,0.01733,0.00000,0.00000,0.03509,4,120,3.61113,0.78800,0.81741,796.47843,0.48502,60,0:x-0.110:y-0.428:f0.36:tf9.91:p0.0000:tok1;15:x0.017:y-0.407:f6.44:tf9.91:p0.0173:tok5;30:x0.017:y-0.286:f5.44:tf9.91:p0.0167:tok3;45:x0.015:y-0.131:f5.31:tf9.91:p0.0151:tok3;60:x0.004:y-0.000:f4.15:tf9.91:p0.0041:tok1;75:x0.012:y0.033:f10.43:tf15.82:p0.0125:tok5;90:x0.012:y0.077:f8.58:tf15.82:p0.0123:tok5;105:x0.012:y0.190:f9.72:tf15.82:p0.0115:tok5;119:x0.012:y0.272:f9.62:tf15.82:p0.0115:tok5
token_full,combined_stress,5,1007,,0,0.95000,5.85749,6.47607,0.35728,1.13515,0.01841,0.00000,0.00000,0.03509,4,120,4.62039,0.91622,0.79063,787.37902,0.50271,55,0:x-0.119:y-0.432:f0.00:tf10.97:p0.0000:tok1;15:x0.016:y-0.411:f6.44:tf10.97:p0.0160:tok2;30:x0.016:y-0.290:f7.42:tf10.97:p0.0161:tok3;45:x0.016:y-0.136:f12.06:tf10.97:p0.0159:tok4;60:x0.011:y-0.082:f8.84:tf16.39:p0.0115:tok5;75:x0.012:y-0.051:f9.05:tf16.39:p0.0121:tok5;90:x0.013:y0.042:f9.62:tf16.39:p0.0133:tok3;105:x0.012:y0.173:f9.44:tf16.39:p0.0120:tok5;119:x0.012:y0.249:f10.87:tf16.39:p0.0123:tok5
token_no_memory,combined_stress,5,1007,,0,0.95000,5.74149,6.43301,0.35020,0.40284,0.01741,0.00000,0.14035,0.03509,4,120,3.48226,1.52123,0.77640,789.94465,0.50314,17,0:x-0.120:y-0.444:f0.00:tf10.97:p0.0000:tok3;15:x0.017:y-0.421:f6.37:tf10.97:p0.0173:tok5;30:x0.016:y-0.299:f5.27:tf10.97:p0.0156:tok3;45:x0.015:y-0.135:f12.66:tf10.97:p0.0150:tok3;60:x0.012:y-0.079:f8.21:tf16.39:p0.0116:tok5;75:x0.013:y-0.052:f10.36:tf16.39:p0.0128:tok5;90:x0.014:y0.025:f10.81:tf16.39:p0.0137:tok5;105:x0.013:y0.153:f10.19:tf16.39:p0.0126:tok3;119:x0.012:y0.236:f10.31:tf16.39:p0.0123:tok5
token_no_discrete_tokens,combined_stress,5,1007,,0,0.95833,5.99743,6.65143,0.36581,1.38177,0.01739,0.00870,0.26087,0.02609,3,120,4.28013,1.47791,0.85455,794.28558,0.50303,0,0:x-0.113:y-0.430:f0.00:tf10.97:p0.0000:tok1;15:x0.016:y-0.406:f6.16:tf10.97:p0.0158:tok1;30:x0.016:y-0.274:f5.57:tf10.97:p0.0165:tok1;45:x0.017:y-0.098:f11.88:tf10.97:p0.0166:tok1;60:x0.011:y-0.055:f9.05:tf16.39:p0.0113:tok1;75:x0.012:y-0.024:f9.56:tf16.39:p0.0121:tok1;90:x0.012:y0.077:f8.26:tf16.39:p0.0116:tok1;105:x0.012:y0.240:f10.21:tf16.39:p0.0121:tok1;119:x0.012:y0.304:f10.72:tf16.39:p0.0117:tok1
token_no_force_update,combined_stress,5,1007,,0,0.95000,5.33697,5.62940,0.32553,1.10363,0.01859,0.00000,0.06140,0.03509,4,120,4.75990,1.11683,0.78231,420.00000,0.20000,52,0:x-0.120:y-0.441:f0.00:tf10.97:p0.0000:tok1;15:x0.017:y-0.417:f6.54:tf10.97:p0.0168:tok5;30:x0.016:y-0.289:f6.26:tf10.97:p0.0159:tok3;45:x0.017:y-0.133:f13.29:tf10.97:p0.0167:tok4;60:x0.012:y-0.087:f9.91:tf16.39:p0.0124:tok2;75:x0.014:y-0.055:f10.73:tf16.39:p0.0142:tok5;90:x0.013:y0.046:f9.47:tf16.39:p0.0130:tok3;105:x0.014:y0.176:f10.10:tf16.39:p0.0137:tok5;119:x0.014:y0.241:f10.44:tf16.39:p0.0138:tok5
token_no_transition_planner,combined_stress,5,1007,,0,0.95000,5.83858,6.39976,0.35612,1.29396,0.02198,0.00877,0.00000,0.03509,4,120,4.66189,0.81341,0.78889,780.31276,0.50116,64,0:x-0.114:y-0.422:f0.42:tf10.97:p0.0000:tok1;15:x0.017:y-0.404:f6.83:tf10.97:p0.0166:tok2;30:x0.016:y-0.288:f5.82:tf10.97:p0.0163:tok3;45:x0.016:y-0.137:f12.17:tf10.97:p0.0159:tok4;60:x0.012:y-0.082:f9.68:tf16.39:p0.0119:tok5;75:x0.012:y-0.050:f10.19:tf16.39:p0.0122:tok5;90:x0.012:y0.051:f9.99:tf16.39:p0.0118:tok5;105:x0.013:y0.179:f9.63:tf16.39:p0.0127:tok2;119:x0.013:y0.247:f10.63:tf16.39:p0.0128:tok5
token_no_safety_penalty,combined_stress,5,1007,,0,0.95000,5.88863,6.45710,0.35918,1.24590,0.02076,0.00877,0.00000,0.03509,4,120,4.65785,0.86319,0.78746,762.46674,0.50226,60,0:x-0.114:y-0.433:f0.00:tf10.97:p0.0000:tok1;15:x0.016:y-0.412:f6.07:tf10.97:p0.0161:tok5;30:x0.016:y-0.290:f5.48:tf10.97:p0.0157:tok3;45:x0.017:y-0.136:f12.99:tf10.97:p0.0167:tok4;60:x0.012:y-0.085:f8.97:tf16.39:p0.0116:tok2;75:x0.012:y-0.049:f8.11:tf16.39:p0.0116:tok5;90:x0.013:y0.044:f7.48:tf16.39:p0.0126:tok3;105:x0.012:y0.173:f9.43:tf16.39:p0.0123:tok5;119:x0.013:y0.246:f9.71:tf16.39:p0.0128:tok5
token_full,combined_stress,5,1008,,0,0.95000,5.36501,6.00297,0.31257,0.66143,0.01826,0.00000,0.00000,0.03509,4,120,3.77609,1.23975,0.77678,730.85900,0.49832,60,0:x-0.106:y-0.433:f0.08:tf9.71:p0.0000:tok1;15:x0.018:y-0.411:f5.08:tf9.71:p0.0176:tok5;30:x0.017:y-0.285:f5.59:tf9.71:p0.0172:tok3;45:x0.004:y-0.140:f4.23:tf9.71:p0.0036:tok1;60:x0.008:y-0.077:f6.66:tf9.71:p0.0084:tok5;75:x0.013:y0.006:f9.15:tf17.16:p0.0133:tok5;90:x0.013:y0.057:f9.34:tf17.16:p0.0134:tok5;105:x0.013:y0.154:f9.43:tf17.16:p0.0129:tok5;119:x0.014:y0.236:f10.66:tf17.16:p0.0141:tok5
token_no_memory,combined_stress,5,1008,,0,0.94167,5.30794,5.95447,0.30924,0.51572,0.01854,0.00000,0.13274,0.03540,4,120,3.25133,1.54126,0.76601,736.48920,0.49772,11,0:x-0.127:y-0.443:f0.55:tf9.71:p0.0000:tok3;15:x0.018:y-0.422:f6.18:tf9.71:p0.0181:tok5;30:x0.017:y-0.293:f4.64:tf9.71:p0.0168:tok3;45:x0.005:y-0.137:f5.53:tf9.71:p0.0053:tok3;60:x0.007:y-0.089:f5.35:tf9.71:p0.0075:tok5;75:x0.014:y-0.013:f10.65:tf17.16:p0.0136:tok5;90:x0.013:y0.044:f10.00:tf17.16:p0.0131:tok5;105:x0.013:y0.149:f10.38:tf17.16:p0.0134:tok5;119:x0.014:y0.227:f9.47:tf17.16:p0.0136:tok5
