group,reference,comparison,paired_success_diff,ci95_success_diff,reference_better_seeds,seeds
hard_splits,impedance_token_policy_v5,adaptive_impedance_control,-0.86553,0.03741,0,8
hard_splits,impedance_token_policy_v5,admittance_switching_control,-0.94129,0.02474,0,8
hard_splits,impedance_token_policy_v5,conformal_safety_gain,-0.70833,0.05879,0,8
hard_splits,impedance_token_policy_v5,ensemble_uncertainty_gain,-0.56061,0.05295,0,8
hard_splits,impedance_token_policy_v5,fixed_impedance,-0.72538,0.02057,0,8
hard_splits,impedance_token_policy_v5,gain_scheduled_impedance,-0.34091,0.06224,0,8
hard_splits,impedance_token_policy_v5,hist_gradient_gain_regressor,-0.53220,0.09161,0,8
hard_splits,impedance_token_policy_v5,impedance_token_policy_v4,-0.12879,0.02806,0,8
hard_splits,impedance_token_policy_v5,learned_gain_regressor,-0.41288,0.04516,0,8
hard_splits,impedance_token_policy_v5,oracle_impedance,-0.59470,0.07524,0,8
hard_splits,impedance_token_policy_v5,random_forest_gain_regressor,-0.82576,0.01861,0,8
hard_splits,impedance_token_policy_v5,risk_averse_impedance,0.00000,0.00000,0,8
hard_splits,impedance_token_policy_v5,robust_mpc_impedance,0.00000,0.00000,0,8
hard_splits,impedance_token_policy_v5,token_no_memory_ablation,-0.63636,0.03505,0,8
combined_and_extreme,impedance_token_policy_v5,adaptive_impedance_control,-0.95833,0.04365,0,8
combined_and_extreme,impedance_token_policy_v5,admittance_switching_control,-0.94792,0.04297,0,8
combined_and_extreme,impedance_token_policy_v5,conformal_safety_gain,-0.96875,0.02989,0,8
combined_and_extreme,impedance_token_policy_v5,ensemble_uncertainty_gain,-0.93750,0.04083,0,8
combined_and_extreme,impedance_token_policy_v5,fixed_impedance,-0.32292,0.11728,0,8
combined_and_extreme,impedance_token_policy_v5,gain_scheduled_impedance,-0.90625,0.05723,0,8
combined_and_extreme,impedance_token_policy_v5,hist_gradient_gain_regressor,-0.89583,0.05977,0,8
combined_and_extreme,impedance_token_policy_v5,impedance_token_policy_v4,0.00000,0.00000,0,8
combined_and_extreme,impedance_token_policy_v5,learned_gain_regressor,-0.82292,0.06502,0,8
combined_and_extreme,impedance_token_policy_v5,oracle_impedance,-0.90625,0.03701,0,8
combined_and_extreme,impedance_token_policy_v5,random_forest_gain_regressor,-0.93750,0.04083,0,8
combined_and_extreme,impedance_token_policy_v5,risk_averse_impedance,0.00000,0.00000,0,8
combined_and_extreme,impedance_token_policy_v5,robust_mpc_impedance,0.00000,0.00000,0,8
combined_and_extreme,impedance_token_policy_v5,token_no_memory_ablation,-0.08333,0.06173,0,8
