method,split,seeds,episodes_per_seed,mean_success_rate,ci95_success_rate,mean_mean_abs_force_error,ci95_mean_abs_force_error,mean_post_shift_force_error,ci95_post_shift_force_error,mean_normalized_force_error,ci95_normalized_force_error,mean_peak_overshoot,ci95_peak_overshoot,mean_safety_violation_rate,ci95_safety_violation_rate,mean_slip_rate,ci95_slip_rate,mean_chatter_rate,ci95_chatter_rate,mean_mean_settling_latency,ci95_mean_settling_latency,mean_mean_energy,ci95_mean_energy,mean_mean_final_progress,ci95_mean_final_progress,mean_mean_token_switches,ci95_mean_token_switches
token_full,combined_stress,7,10,0.45714,0.14728,5.54205,0.04453,6.22709,0.10216,0.34114,0.00375,0.96233,0.05050,0.00113,0.00049,0.02794,0.00855,0.03293,0.00092,120.00000,0.00000,4.15013,0.09140,0.79802,0.00490,56.37143,0.46405
token_no_discrete_tokens,combined_stress,7,10,0.30000,0.07408,5.72215,0.04412,6.50769,0.10736,0.35223,0.00380,1.16175,0.03429,0.00386,0.00148,0.19884,0.00789,0.03367,0.00032,120.00000,0.00000,3.99982,0.06754,0.85344,0.00363,0.00000,0.00000
token_no_force_update,combined_stress,7,10,0.48571,0.09001,5.06238,0.04510,5.37219,0.08653,0.31163,0.00379,0.90336,0.06480,0.00138,0.00074,0.06121,0.01015,0.03205,0.00174,110.75714,8.12957,4.18527,0.11314,0.79492,0.00399,48.68571,1.65453
token_no_memory,combined_stress,7,10,0.60000,0.11316,5.45759,0.04170,6.20591,0.09864,0.33593,0.00369,0.41143,0.02089,0.00000,0.00000,0.11300,0.00765,0.03123,0.00153,120.00000,0.00000,3.28824,0.06301,0.78689,0.00540,13.88571,1.59886
token_no_safety_penalty,combined_stress,7,10,0.48571,0.11657,5.53408,0.04210,6.22996,0.09830,0.34063,0.00369,0.88780,0.04100,0.00163,0.00045,0.02477,0.00823,0.03117,0.00171,118.82857,2.29600,4.07515,0.09114,0.79791,0.00539,55.92857,0.88352
token_no_transition_planner,combined_stress,7,10,0.44286,0.07230,5.54792,0.04554,6.23165,0.10623,0.34150,0.00414,0.95171,0.04244,0.00150,0.00072,0.02704,0.00834,0.03331,0.00120,120.00000,0.00000,4.15741,0.08657,0.79782,0.00441,56.05714,1.09032
