method,split,seed,episode,stress_level,success,contact_ratio,mean_abs_force_error,post_shift_force_error,normalized_force_error,peak_overshoot,max_penetration,safety_violation_rate,slip_rate,chatter_rate,chatter_crossings,settling_latency,energy,work,final_progress,final_k_est,final_mu_est,token_switches,trajectory_samples
gain_scheduled_impedance,combined_stress,0,2000,0.00,0,0.91667,1.86667,0.23572,0.15611,1.16717,0.03784,0.00000,0.62500,0.06818,6,5,0.79358,-0.10983,0.86440,322.48785,0.19964,0,0:x-0.120:y-0.433:f0.00:tf11.96:p0.0000:tok-1;15:x0.027:y-0.424:f9.94:tf11.96:p0.0270:tok-1;30:x0.034:y-0.347:f10.94:tf11.96:p0.0337:tok-1;45:x0.036:y-0.214:f11.94:tf11.96:p0.0362:tok-1;60:x0.037:y-0.056:f11.84:tf11.96:p0.0369:tok-1;75:x0.037:y0.112:f12.28:tf11.96:p0.0373:tok-1;90:x0.037:y0.268:f12.27:tf11.96:p0.0371:tok-1;95:x0.037:y0.307:f11.79:tf11.96:p0.0370:tok-1
adaptive_impedance_control,combined_stress,0,2000,0.00,1,0.92708,1.42067,0.26919,0.11881,1.25205,0.03837,0.00000,0.58427,0.04494,4,5,0.84269,-0.13028,0.84856,321.92905,0.19958,0,0:x-0.103:y-0.428:f0.00:tf11.96:p0.0000:tok-1;15:x0.032:y-0.417:f10.84:tf11.96:p0.0324:tok-1;30:x0.036:y-0.344:f11.63:tf11.96:p0.0360:tok-1;45:x0.038:y-0.220:f12.35:tf11.96:p0.0381:tok-1;60:x0.037:y-0.067:f12.31:tf11.96:p0.0375:tok-1;75:x0.037:y0.098:f12.42:tf11.96:p0.0374:tok-1;90:x0.038:y0.253:f12.16:tf11.96:p0.0382:tok-1;95:x0.038:y0.293:f12.42:tf11.96:p0.0383:tok-1
robust_mpc_impedance,combined_stress,0,2000,0.00,0,0.85417,3.57125,1.15687,0.29867,0.97273,0.03410,0.00000,0.42683,0.00000,0,5,0.36071,-0.01853,0.68044,318.29172,0.19967,0,0:x-0.112:y-0.434:f0.25:tf11.96:p0.0000:tok-1;15:x0.009:y-0.434:f4.80:tf11.96:p0.0086:tok-1;30:x0.027:y-0.390:f8.95:tf11.96:p0.0271:tok-1;45:x0.031:y-0.298:f10.22:tf11.96:p0.0314:tok-1;60:x0.033:y-0.176:f10.83:tf11.96:p0.0333:tok-1;75:x0.034:y-0.036:f10.48:tf11.96:p0.0338:tok-1;90:x0.034:y0.107:f11.04:tf11.96:p0.0341:tok-1;95:x0.034:y0.147:f10.61:tf11.96:p0.0340:tok-1
learned_gain_regressor,combined_stress,0,2000,0.00,0,0.90625,2.66425,0.74140,0.22282,1.12291,0.03957,0.00000,0.63218,0.03448,3,5,0.68453,-0.15629,0.84520,323.98177,0.19942,0,0:x-0.110:y-0.436:f0.00:tf11.96:p0.0000:tok-1;15:x0.012:y-0.426:f4.60:tf11.96:p0.0122:tok-1;30:x0.031:y-0.344:f10.06:tf11.96:p0.0309:tok-1;45:x0.036:y-0.207:f11.61:tf11.96:p0.0359:tok-1;60:x0.038:y-0.052:f12.20:tf11.96:p0.0379:tok-1;75:x0.039:y0.106:f12.96:tf11.96:p0.0391:tok-1;90:x0.039:y0.253:f12.48:tf11.96:p0.0393:tok-1;95:x0.040:y0.290:f13.03:tf11.96:p0.0396:tok-1
random_forest_gain_regressor,combined_stress,0,2000,0.00,1,0.90625,2.40469,0.26076,0.20111,1.13143,0.03722,0.00000,0.57471,0.04598,4,5,0.52933,-0.10643,0.80148,321.15354,0.19961,0,0:x-0.099:y-0.436:f0.00:tf11.96:p0.0000:tok-1;15:x0.018:y-0.430:f6.91:tf11.96:p0.0183:tok-1;30:x0.031:y-0.363:f10.17:tf11.96:p0.0307:tok-1;45:x0.035:y-0.244:f11.78:tf11.96:p0.0350:tok-1;60:x0.036:y-0.098:f10.85:tf11.96:p0.0364:tok-1;75:x0.037:y0.060:f12.03:tf11.96:p0.0370:tok-1;90:x0.037:y0.212:f11.82:tf11.96:p0.0371:tok-1;95:x0.037:y0.252:f11.79:tf11.96:p0.0370:tok-1
hist_gradient_gain_regressor,combined_stress,0,2000,0.00,0,0.89583,2.48141,0.30161,0.20752,1.09191,0.03744,0.00000,0.61628,0.03488,3,5,0.67388,-0.17158,0.82866,322.89534,0.19962,0,0:x-0.121:y-0.434:f0.03:tf11.96:p0.0000:tok-1;15:x0.019:y-0.426:f6.62:tf11.96:p0.0186:tok-1;30:x0.031:y-0.349:f10.41:tf11.96:p0.0310:tok-1;45:x0.035:y-0.221:f11.02:tf11.96:p0.0347:tok-1;60:x0.036:y-0.073:f12.37:tf11.96:p0.0356:tok-1;75:x0.037:y0.085:f11.89:tf11.96:p0.0373:tok-1;90:x0.036:y0.236:f11.43:tf11.96:p0.0359:tok-1;95:x0.036:y0.275:f11.61:tf11.96:p0.0361:tok-1
ensemble_uncertainty_gain,combined_stress,0,2000,0.00,1,0.89583,2.50233,0.26645,0.20927,1.12375,0.03718,0.00000,0.59302,0.08140,7,5,0.64616,-0.16416,0.82509,320.64059,0.19959,0,0:x-0.121:y-0.419:f0.00:tf11.96:p0.0000:tok-1;15:x0.018:y-0.413:f6.99:tf11.96:p0.0183:tok-1;30:x0.031:y-0.345:f9.86:tf11.96:p0.0306:tok-1;45:x0.035:y-0.223:f11.57:tf11.96:p0.0348:tok-1;60:x0.035:y-0.074:f11.34:tf11.96:p0.0355:tok-1;75:x0.037:y0.084:f11.95:tf11.96:p0.0365:tok-1;90:x0.037:y0.234:f11.63:tf11.96:p0.0368:tok-1;95:x0.037:y0.273:f12.05:tf11.96:p0.0372:tok-1
risk_averse_impedance,combined_stress,0,2000,0.00,0,0.86458,4.00177,1.96492,0.33467,0.99960,0.03116,0.00000,0.16867,0.00000,0,5,0.42256,-0.06604,0.60173,322.10740,0.19961,0,0:x-0.122:y-0.424:f0.00:tf11.96:p0.0000:tok-1;15:x0.012:y-0.423:f5.60:tf11.96:p0.0116:tok-1;30:x0.026:y-0.388:f8.64:tf11.96:p0.0258:tok-1;45:x0.029:y-0.313:f9.85:tf11.96:p0.0293:tok-1;60:x0.030:y-0.211:f10.18:tf11.96:p0.0305:tok-1;75:x0.031:y-0.088:f10.07:tf11.96:p0.0311:tok-1;90:x0.031:y0.041:f9.82:tf11.96:p0.0307:tok-1;95:x0.031:y0.080:f9.91:tf11.96:p0.0309:tok-1
conformal_safety_gain,combined_stress,0,2000,0.00,0,0.89583,2.46674,0.39679,0.20630,1.12144,0.03670,0.00000,0.60465,0.02326,2,5,0.67937,-0.17306,0.81956,321.25135,0.19963,0,0:x-0.123:y-0.431:f0.30:tf11.96:p0.0000:tok-1;15:x0.018:y-0.425:f7.16:tf11.96:p0.0182:tok-1;30:x0.031:y-0.353:f10.21:tf11.96:p0.0311:tok-1;45:x0.035:y-0.228:f11.66:tf11.96:p0.0349:tok-1;60:x0.035:y-0.079:f11.87:tf11.96:p0.0347:tok-1;75:x0.036:y0.079:f11.24:tf11.96:p0.0358:tok-1;90:x0.036:y0.228:f11.91:tf11.96:p0.0364:tok-1;95:x0.037:y0.268:f11.88:tf11.96:p0.0367:tok-1
impedance_token_policy_v4,combined_stress,0,2000,0.00,1,0.90625,2.67035,1.38587,0.22333,1.01946,0.03600,0.00000,0.51724,0.01149,1,5,0.79633,-0.09310,0.74746,320.73869,0.19969,54,0:x-0.120:y-0.423:f0.34:tf11.96:p0.0000:tok1;15:x0.026:y-0.417:f8.53:tf11.96:p0.0257:tok5;30:x0.031:y-0.355:f9.89:tf11.96:p0.0311:tok2;45:x0.034:y-0.242:f10.76:tf11.96:p0.0337:tok4;60:x0.032:y-0.112:f10.02:tf11.96:p0.0325:tok4;75:x0.031:y0.022:f9.50:tf11.96:p0.0312:tok4;90:x0.035:y0.162:f11.51:tf11.96:p0.0347:tok3;95:x0.036:y0.204:f11.23:tf11.96:p0.0360:tok7
