method,split,seed,episode,stress_level,success,contact_ratio,mean_abs_force_error,post_shift_force_error,normalized_force_error,peak_overshoot,max_penetration,safety_violation_rate,slip_rate,chatter_rate,chatter_crossings,settling_latency,energy,work,final_progress,final_k_est,final_mu_est,token_switches,trajectory_samples
impedance_token_policy_v5,combined_stress,0,2000,0.00,0,0.89583,3.14139,1.91927,0.26272,1.01684,0.03248,0.00000,0.40698,0.02326,2,5,0.80139,-0.12213,0.71472,323.75059,0.19981,44,0:x-0.123:y-0.424:f0.19:tf11.96:p0.0000:tok1;15:x0.026:y-0.417:f9.65:tf11.96:p0.0258:tok0;30:x0.030:y-0.356:f10.04:tf11.96:p0.0299:tok6;45:x0.031:y-0.262:f10.11:tf11.96:p0.0309:tok4;60:x0.031:y-0.142:f9.27:tf11.96:p0.0310:tok6;75:x0.031:y-0.004:f10.06:tf11.96:p0.0312:tok4;90:x0.030:y0.138:f10.06:tf11.96:p0.0305:tok4;95:x0.030:y0.177:f9.94:tf11.96:p0.0304:tok4
oracle_impedance,combined_stress,0,2000,0.00,0,0.92708,1.38506,0.38224,0.11584,1.19896,0.03866,0.00000,0.61798,0.03371,3,5,0.92880,-0.16991,0.84818,323.60631,0.19947,0,0:x-0.119:y-0.438:f0.09:tf11.96:p0.0000:tok-1;15:x0.038:y-0.425:f12.88:tf11.96:p0.0384:tok-1;30:x0.038:y-0.342:f12.10:tf11.96:p0.0382:tok-1;45:x0.038:y-0.206:f12.35:tf11.96:p0.0382:tok-1;60:x0.038:y-0.052:f11.37:tf11.96:p0.0376:tok-1;75:x0.038:y0.108:f11.92:tf11.96:p0.0381:tok-1;90:x0.038:y0.255:f12.36:tf11.96:p0.0382:tok-1;95:x0.038:y0.293:f13.01:tf11.96:p0.0382:tok-1
gain_scheduled_impedance,combined_stress,0,2001,0.00,0,0.91667,1.79041,0.19979,0.15629,1.09749,0.03544,0.00000,0.63636,0.04545,4,5,0.72718,-0.08769,0.87362,327.24185,0.15097,0,0:x-0.114:y-0.436:f0.00:tf11.46:p0.0000:tok-1;15:x0.025:y-0.427:f9.00:tf11.46:p0.0253:tok-1;30:x0.032:y-0.346:f10.95:tf11.46:p0.0317:tok-1;45:x0.034:y-0.211:f10.63:tf11.46:p0.0340:tok-1;60:x0.035:y-0.050:f11.69:tf11.46:p0.0354:tok-1;75:x0.035:y0.120:f11.47:tf11.46:p0.0352:tok-1;90:x0.035:y0.276:f11.38:tf11.46:p0.0349:tok-1;95:x0.035:y0.315:f11.64:tf11.46:p0.0349:tok-1
adaptive_impedance_control,combined_stress,0,2001,0.00,1,0.92708,1.41573,0.37155,0.12358,1.21726,0.03617,0.00000,0.58427,0.04494,4,5,0.94625,-0.16158,0.85913,328.20231,0.15088,0,0:x-0.116:y-0.420:f0.00:tf11.46:p0.0000:tok-1;15:x0.030:y-0.410:f9.94:tf11.46:p0.0304:tok-1;30:x0.034:y-0.338:f10.66:tf11.46:p0.0337:tok-1;45:x0.036:y-0.213:f11.85:tf11.46:p0.0360:tok-1;60:x0.035:y-0.059:f11.77:tf11.46:p0.0355:tok-1;75:x0.036:y0.107:f11.29:tf11.46:p0.0358:tok-1;90:x0.036:y0.263:f11.71:tf11.46:p0.0358:tok-1;95:x0.036:y0.302:f12.18:tf11.46:p0.0362:tok-1
robust_mpc_impedance,combined_stress,0,2001,0.00,0,0.86458,3.44256,1.13046,0.30050,1.06861,0.03206,0.00000,0.43373,0.04819,4,5,0.31977,-0.00145,0.68596,323.63152,0.15109,0,0:x-0.099:y-0.433:f0.00:tf11.46:p0.0000:tok-1;15:x0.010:y-0.432:f4.98:tf11.46:p0.0097:tok-1;30:x0.025:y-0.389:f8.68:tf11.46:p0.0252:tok-1;45:x0.030:y-0.295:f8.71:tf11.46:p0.0295:tok-1;60:x0.031:y-0.173:f9.94:tf11.46:p0.0310:tok-1;75:x0.032:y-0.032:f10.02:tf11.46:p0.0317:tok-1;90:x0.032:y0.111:f10.30:tf11.46:p0.0319:tok-1;95:x0.032:y0.152:f10.53:tf11.46:p0.0321:tok-1
learned_gain_regressor,combined_stress,0,2001,0.00,0,0.90625,2.13347,0.50478,0.18623,1.13673,0.03687,0.00000,0.64368,0.04598,4,5,0.70858,-0.15355,0.85641,328.63852,0.15080,0,0:x-0.118:y-0.435:f0.00:tf11.46:p0.0000:tok-1;15:x0.022:y-0.426:f7.90:tf11.46:p0.0222:tok-1;30:x0.030:y-0.342:f10.29:tf11.46:p0.0302:tok-1;45:x0.034:y-0.203:f10.64:tf11.46:p0.0338:tok-1;60:x0.034:y-0.046:f11.68:tf11.46:p0.0345:tok-1;75:x0.036:y0.115:f12.03:tf11.46:p0.0359:tok-1;90:x0.037:y0.263:f11.85:tf11.46:p0.0368:tok-1;95:x0.037:y0.300:f12.16:tf11.46:p0.0369:tok-1
random_forest_gain_regressor,combined_stress,0,2001,0.00,0,0.89583,2.45764,0.25169,0.21453,1.21104,0.03443,0.00000,0.60465,0.02326,2,5,0.64425,-0.16179,0.80948,328.00400,0.15101,0,0:x-0.121:y-0.436:f0.00:tf11.46:p0.0000:tok-1;15:x0.017:y-0.431:f6.77:tf11.46:p0.0166:tok-1;30:x0.029:y-0.365:f9.64:tf11.46:p0.0286:tok-1;45:x0.032:y-0.243:f12.38:tf11.46:p0.0325:tok-1;60:x0.034:y-0.094:f10.68:tf11.46:p0.0336:tok-1;75:x0.034:y0.066:f11.06:tf11.46:p0.0343:tok-1;90:x0.034:y0.218:f11.35:tf11.46:p0.0342:tok-1;95:x0.034:y0.259:f10.91:tf11.46:p0.0342:tok-1
hist_gradient_gain_regressor,combined_stress,0,2001,0.00,0,0.89583,2.35634,0.32326,0.20569,1.13396,0.03439,0.00000,0.60465,0.03488,3,5,0.65231,-0.16062,0.84211,327.68101,0.15098,0,0:x-0.118:y-0.414:f0.00:tf11.46:p0.0000:tok-1;15:x0.018:y-0.408:f7.19:tf11.46:p0.0178:tok-1;30:x0.029:y-0.336:f9.91:tf11.46:p0.0289:tok-1;45:x0.033:y-0.211:f11.70:tf11.46:p0.0332:tok-1;60:x0.033:y-0.063:f10.93:tf11.46:p0.0331:tok-1;75:x0.034:y0.097:f11.30:tf11.46:p0.0337:tok-1;90:x0.034:y0.248:f11.31:tf11.46:p0.0344:tok-1;95:x0.034:y0.287:f10.67:tf11.46:p0.0343:tok-1
ensemble_uncertainty_gain,combined_stress,0,2001,0.00,0,0.89583,2.37374,0.20765,0.20720,1.11328,0.03472,0.00000,0.62791,0.06977,6,5,0.65052,-0.16053,0.83474,329.91442,0.15096,0,0:x-0.122:y-0.436:f0.08:tf11.46:p0.0000:tok-1;15:x0.017:y-0.431:f6.67:tf11.46:p0.0173:tok-1;30:x0.029:y-0.357:f9.55:tf11.46:p0.0288:tok-1;45:x0.033:y-0.226:f10.60:tf11.46:p0.0332:tok-1;60:x0.034:y-0.071:f10.84:tf11.46:p0.0341:tok-1;75:x0.035:y0.091:f11.16:tf11.46:p0.0345:tok-1;90:x0.035:y0.242:f11.08:tf11.46:p0.0346:tok-1;95:x0.035:y0.281:f11.74:tf11.46:p0.0347:tok-1
risk_averse_impedance,combined_stress,0,2001,0.00,0,0.87500,3.86121,1.93121,0.33705,1.04920,0.02908,0.00000,0.22619,0.01190,1,5,0.38991,-0.04654,0.61149,329.34733,0.15106,0,0:x-0.113:y-0.436:f0.02:tf11.46:p0.0000:tok-1;15:x0.011:y-0.435:f4.79:tf11.46:p0.0108:tok-1;30:x0.024:y-0.397:f8.28:tf11.46:p0.0240:tok-1;45:x0.028:y-0.318:f9.10:tf11.46:p0.0277:tok-1;60:x0.028:y-0.210:f8.68:tf11.46:p0.0279:tok-1;75:x0.029:y-0.084:f9.47:tf11.46:p0.0288:tok-1;90:x0.029:y0.049:f9.44:tf11.46:p0.0290:tok-1;95:x0.029:y0.088:f9.35:tf11.46:p0.0291:tok-1
conformal_safety_gain,combined_stress,0,2001,0.00,0,0.89583,2.32710,0.28457,0.20313,1.05769,0.03425,0.00000,0.60465,0.00000,0,5,0.63741,-0.15220,0.83162,326.84971,0.15099,0,0:x-0.118:y-0.421:f0.32:tf11.46:p0.0000:tok-1;15:x0.017:y-0.415:f6.97:tf11.46:p0.0173:tok-1;30:x0.029:y-0.345:f9.19:tf11.46:p0.0291:tok-1;45:x0.033:y-0.221:f10.61:tf11.46:p0.0326:tok-1;60:x0.034:y-0.071:f11.33:tf11.46:p0.0337:tok-1;75:x0.034:y0.088:f10.86:tf11.46:p0.0340:tok-1;90:x0.034:y0.239:f11.39:tf11.46:p0.0342:tok-1;95:x0.034:y0.278:f11.31:tf11.46:p0.0343:tok-1
impedance_token_policy_v4,combined_stress,0,2001,0.00,1,0.90625,2.44122,0.85005,0.21309,1.03026,0.03362,0.00000,0.56322,0.01149,1,5,0.70526,-0.06658,0.76756,329.26072,0.15107,52,0:x-0.107:y-0.428:f0.00:tf11.46:p0.0000:tok1;15:x0.024:y-0.421:f8.28:tf11.46:p0.0240:tok5;30:x0.029:y-0.355:f9.31:tf11.46:p0.0287:tok4;45:x0.032:y-0.240:f11.80:tf11.46:p0.0316:tok5;60:x0.029:y-0.108:f9.53:tf11.46:p0.0290:tok4;75:x0.031:y0.028:f10.53:tf11.46:p0.0314:tok3;90:x0.033:y0.179:f10.82:tf11.46:p0.0329:tok3;95:x0.034:y0.222:f11.41:tf11.46:p0.0336:tok7
impedance_token_policy_v5,combined_stress,0,2001,0.00,0,0.89583,3.07154,2.02893,0.26812,0.93816,0.02902,0.00000,0.39535,0.00000,0,5,0.72420,-0.09190,0.71949,328.49479,0.15123,39,0:x-0.117:y-0.435:f0.00:tf11.46:p0.0000:tok1;15:x0.024:y-0.429:f9.24:tf11.46:p0.0242:tok4;30:x0.028:y-0.364:f9.65:tf11.46:p0.0283:tok6;45:x0.029:y-0.264:f9.39:tf11.46:p0.0286:tok4;60:x0.028:y-0.144:f9.26:tf11.46:p0.0284:tok4;75:x0.029:y-0.003:f9.42:tf11.46:p0.0286:tok4;90:x0.029:y0.140:f8.97:tf11.46:p0.0289:tok4;95:x0.029:y0.181:f9.46:tf11.46:p0.0289:tok4
oracle_impedance,combined_stress,0,2001,0.00,0,0.92708,1.35126,0.36674,0.11795,1.16982,0.03673,0.00000,0.61798,0.01124,1,5,0.89460,-0.15732,0.86084,327.42730,0.15079,0,0:x-0.116:y-0.425:f0.00:tf11.46:p0.0000:tok-1;15:x0.037:y-0.413:f12.44:tf11.46:p0.0367:tok-1;30:x0.036:y-0.332:f12.06:tf11.46:p0.0359:tok-1;45:x0.035:y-0.197:f9.94:tf11.46:p0.0353:tok-1;60:x0.036:y-0.042:f11.72:tf11.46:p0.0365:tok-1;75:x0.036:y0.118:f11.99:tf11.46:p0.0360:tok-1;90:x0.036:y0.266:f11.18:tf11.46:p0.0359:tok-1;95:x0.036:y0.304:f11.83:tf11.46:p0.0359:tok-1
gain_scheduled_impedance,combined_stress,0,2002,0.00,0,0.90625,1.39314,0.15427,0.12885,1.15026,0.02706,0.00000,0.65517,0.05747,5,5,0.65935,-0.06362,0.87490,402.52630,0.14785,0,0:x-0.107:y-0.446:f0.00:tf10.81:p0.0000:tok-1;15:x0.023:y-0.437:f9.72:tf10.81:p0.0232:tok-1;30:x0.026:y-0.352:f10.16:tf10.81:p0.0260:tok-1;45:x0.027:y-0.213:f12.23:tf10.81:p0.0267:tok-1;60:x0.026:y-0.050:f10.82:tf10.81:p0.0263:tok-1;75:x0.027:y0.121:f10.63:tf10.81:p0.0270:tok-1;90:x0.027:y0.277:f10.84:tf10.81:p0.0267:tok-1;95:x0.027:y0.316:f10.84:tf10.81:p0.0268:tok-1
adaptive_impedance_control,combined_stress,0,2002,0.00,0,0.92708,1.21861,0.35626,0.11271,1.20333,0.02847,0.00000,0.60674,0.02247,2,5,0.92941,-0.15410,0.86045,403.53920,0.14774,0,0:x-0.117:y-0.438:f0.00:tf10.81:p0.0000:tok-1;15:x0.026:y-0.426:f10.82:tf10.81:p0.0265:tok-1;30:x0.027:y-0.348:f10.86:tf10.81:p0.0269:tok-1;45:x0.028:y-0.217:f12.79:tf10.81:p0.0277:tok-1;60:x0.028:y-0.060:f11.24:tf10.81:p0.0284:tok-1;75:x0.027:y0.108:f11.15:tf10.81:p0.0275:tok-1;90:x0.027:y0.264:f11.40:tf10.81:p0.0275:tok-1;95:x0.027:y0.303:f10.60:tf10.81:p0.0274:tok-1
robust_mpc_impedance,combined_stress,0,2002,0.00,0,0.84375,3.11080,0.97084,0.28771,1.14528,0.02506,0.00000,0.40741,0.03704,3,5,0.36592,-0.02263,0.68832,400.67447,0.14793,0,0:x-0.119:y-0.416:f0.00:tf10.81:p0.0000:tok-1;15:x0.005:y-0.416:f3.95:tf10.81:p0.0047:tok-1;30:x0.021:y-0.377:f8.85:tf10.81:p0.0211:tok-1;45:x0.024:y-0.288:f9.87:tf10.81:p0.0237:tok-1;60:x0.024:y-0.168:f9.66:tf10.81:p0.0245:tok-1;75:x0.024:y-0.029:f9.74:tf10.81:p0.0245:tok-1;90:x0.025:y0.113:f9.89:tf10.81:p0.0245:tok-1;95:x0.025:y0.154:f9.87:tf10.81:p0.0246:tok-1
learned_gain_regressor,combined_stress,0,2002,0.00,0,0.90625,1.89524,0.63327,0.17529,1.17155,0.02876,0.00000,0.63218,0.02299,2,5,0.63206,-0.12142,0.85853,404.24092,0.14761,0,0:x-0.109:y-0.428:f0.00:tf10.81:p0.0000:tok-1;15:x0.021:y-0.419:f8.81:tf10.81:p0.0207:tok-1;30:x0.024:y-0.339:f9.51:tf10.81:p0.0241:tok-1;45:x0.027:y-0.201:f11.31:tf10.81:p0.0265:tok-1;60:x0.028:y-0.044:f10.95:tf10.81:p0.0276:tok-1;75:x0.028:y0.117:f10.99:tf10.81:p0.0283:tok-1;90:x0.029:y0.264:f12.10:tf10.81:p0.0287:tok-1;95:x0.029:y0.302:f11.78:tf10.81:p0.0288:tok-1
random_forest_gain_regressor,combined_stress,0,2002,0.00,1,0.88542,2.00853,0.22651,0.18577,1.15768,0.02740,0.00000,0.58824,0.02353,2,5,0.60826,-0.13971,0.81395,400.11834,0.14783,0,0:x-0.116:y-0.432:f0.21:tf10.81:p0.0000:tok-1;15:x0.015:y-0.428:f7.11:tf10.81:p0.0153:tok-1;30:x0.024:y-0.364:f9.96:tf10.81:p0.0242:tok-1;45:x0.026:y-0.245:f10.22:tf10.81:p0.0262:tok-1;60:x0.027:y-0.096:f11.20:tf10.81:p0.0273:tok-1;75:x0.027:y0.067:f10.24:tf10.81:p0.0272:tok-1;90:x0.027:y0.222:f10.57:tf10.81:p0.0273:tok-1;95:x0.027:y0.263:f11.20:tf10.81:p0.0274:tok-1
hist_gradient_gain_regressor,combined_stress,0,2002,0.00,0,0.89583,2.00250,0.19253,0.18521,1.16550,0.02698,0.00000,0.61628,0.03488,3,5,0.61803,-0.14299,0.84259,401.18325,0.14781,0,0:x-0.114:y-0.421:f0.00:tf10.81:p0.0000:tok-1;15:x0.016:y-0.414:f7.74:tf10.81:p0.0164:tok-1;30:x0.024:y-0.340:f9.89:tf10.81:p0.0244:tok-1;45:x0.026:y-0.213:f8.99:tf10.81:p0.0257:tok-1;60:x0.027:y-0.063:f10.92:tf10.81:p0.0265:tok-1;75:x0.027:y0.097:f10.61:tf10.81:p0.0269:tok-1;90:x0.027:y0.248:f10.70:tf10.81:p0.0266:tok-1;95:x0.026:y0.288:f9.91:tf10.81:p0.0263:tok-1
ensemble_uncertainty_gain,combined_stress,0,2002,0.00,0,0.88542,2.06043,0.27253,0.19057,1.10389,0.02752,0.00000,0.64706,0.02353,2,5,0.65894,-0.16242,0.83674,402.81585,0.14779,0,0:x-0.125:y-0.440:f0.01:tf10.81:p0.0000:tok-1;15:x0.015:y-0.435:f7.21:tf10.81:p0.0154:tok-1;30:x0.024:y-0.360:f9.66:tf10.81:p0.0237:tok-1;45:x0.026:y-0.228:f10.70:tf10.81:p0.0259:tok-1;60:x0.027:y-0.072:f11.31:tf10.81:p0.0274:tok-1;75:x0.027:y0.091:f11.00:tf10.81:p0.0275:tok-1;90:x0.027:y0.243:f10.63:tf10.81:p0.0271:tok-1;95:x0.027:y0.283:f10.63:tf10.81:p0.0271:tok-1
risk_averse_impedance,combined_stress,0,2002,0.00,0,0.86458,3.41717,1.65397,0.31605,0.97262,0.02287,0.00000,0.21687,0.00000,0,5,0.38653,-0.04690,0.61456,403.60799,0.14786,0,0:x-0.116:y-0.425:f0.00:tf10.81:p0.0000:tok-1;15:x0.010:y-0.424:f5.23:tf10.81:p0.0096:tok-1;30:x0.020:y-0.388:f8.21:tf10.81:p0.0203:tok-1;45:x0.022:y-0.311:f9.14:tf10.81:p0.0222:tok-1;60:x0.023:y-0.206:f9.24:tf10.81:p0.0228:tok-1;75:x0.023:y-0.080:f9.25:tf10.81:p0.0228:tok-1;90:x0.023:y0.052:f9.46:tf10.81:p0.0228:tok-1;95:x0.023:y0.091:f9.20:tf10.81:p0.0227:tok-1
conformal_safety_gain,combined_stress,0,2002,0.00,0,0.89583,2.12628,0.24028,0.19666,1.10451,0.02721,0.00000,0.61628,0.03488,3,5,0.67341,-0.16720,0.83303,399.09309,0.14781,0,0:x-0.125:y-0.430:f0.00:tf10.81:p0.0000:tok-1;15:x0.014:y-0.426:f6.81:tf10.81:p0.0141:tok-1;30:x0.023:y-0.354:f9.96:tf10.81:p0.0235:tok-1;45:x0.026:y-0.226:f10.83:tf10.81:p0.0256:tok-1;60:x0.027:y-0.073:f10.97:tf10.81:p0.0269:tok-1;75:x0.027:y0.088:f10.95:tf10.81:p0.0268:tok-1;90:x0.027:y0.240:f10.94:tf10.81:p0.0271:tok-1;95:x0.027:y0.279:f10.56:tf10.81:p0.0271:tok-1
impedance_token_policy_v4,combined_stress,0,2002,0.00,1,0.89583,2.12227,0.94184,0.19628,1.00781,0.02550,0.00000,0.58140,0.00000,0,5,0.72530,-0.07209,0.76048,404.94429,0.14796,46,0:x-0.115:y-0.426:f0.00:tf10.81:p0.0000:tok1;15:x0.022:y-0.420:f8.67:tf10.81:p0.0222:tok7;30:x0.024:y-0.359:f9.92:tf10.81:p0.0237:tok2;45:x0.025:y-0.245:f8.86:tf10.81:p0.0250:tok4;60:x0.023:y-0.116:f9.26:tf10.81:p0.0229:tok4;75:x0.024:y0.020:f10.04:tf10.81:p0.0237:tok3;90:x0.025:y0.172:f10.55:tf10.81:p0.0251:tok3;95:x0.025:y0.216:f9.79:tf10.81:p0.0251:tok7
impedance_token_policy_v5,combined_stress,0,2002,0.00,0,0.89583,2.89887,1.81679,0.26811,1.05334,0.02265,0.00000,0.43023,0.01163,1,5,0.74604,-0.09373,0.72117,401.60763,0.14814,29,0:x-0.122:y-0.430:f0.00:tf10.81:p0.0000:tok1;15:x0.019:y-0.424:f8.01:tf10.81:p0.0194:tok5;30:x0.022:y-0.368:f8.75:tf10.81:p0.0216:tok6;45:x0.022:y-0.279:f8.47:tf10.81:p0.0223:tok4;60:x0.023:y-0.152:f8.93:tf10.81:p0.0225:tok4;75:x0.022:y-0.005:f9.39:tf10.81:p0.0222:tok4;90:x0.023:y0.141:f9.41:tf10.81:p0.0225:tok4;95:x0.022:y0.183:f9.01:tf10.81:p0.0224:tok4
