method,split,seed,episode,stress_level,success,contact_ratio,mean_abs_force_error,post_shift_force_error,normalized_force_error,peak_overshoot,max_penetration,safety_violation_rate,slip_rate,chatter_rate,chatter_crossings,settling_latency,energy,work,final_progress,final_k_est,final_mu_est,token_switches,trajectory_samples
fixed_impedance,nominal_surface_tracking,0,0,,0,0.95833,5.13729,4.97262,0.43496,2.10618,0.02411,0.00870,0.18261,0.01739,2,120,3.58725,0.21856,1.01711,421.19809,0.18009,0,0:x-0.109:y-0.441:f0.09:tf11.57:p0.0000:tok-1;15:x0.015:y-0.418:f6.73:tf11.57:p0.0153:tok-1;30:x0.016:y-0.298:f6.19:tf11.57:p0.0155:tok-1;45:x0.016:y-0.121:f7.13:tf11.57:p0.0159:tok-1;60:x0.016:y0.026:f6.67:tf11.81:p0.0161:tok-1;75:x0.016:y0.133:f6.96:tf11.81:p0.0163:tok-1;90:x0.017:y0.252:f6.62:tf11.81:p0.0167:tok-1;105:x0.016:y0.390:f6.57:tf11.81:p0.0162:tok-1;119:x0.016:y0.445:f7.00:tf11.81:p0.0163:tok-1
gain_scheduled_impedance,nominal_surface_tracking,0,0,,0,0.95000,4.91556,4.86768,0.41619,0.92947,0.01708,0.00000,0.17544,0.00000,0,120,2.82720,0.39837,1.01839,417.30848,0.17782,0,0:x-0.128:y-0.426:f0.62:tf11.57:p0.0000:tok-1;15:x0.015:y-0.408:f6.65:tf11.57:p0.0151:tok-1;30:x0.016:y-0.285:f6.95:tf11.57:p0.0157:tok-1;45:x0.016:y-0.106:f6.54:tf11.57:p0.0159:tok-1;60:x0.016:y0.030:f6.96:tf11.81:p0.0161:tok-1;75:x0.016:y0.137:f6.80:tf11.81:p0.0164:tok-1;90:x0.017:y0.264:f6.74:tf11.81:p0.0167:tok-1;105:x0.017:y0.403:f7.33:tf11.81:p0.0166:tok-1;119:x0.017:y0.446:f6.39:tf11.81:p0.0165:tok-1
adaptive_impedance_control,nominal_surface_tracking,0,0,,0,0.95833,4.68556,4.37773,0.39671,1.87341,0.02635,0.00870,0.17391,0.01739,2,120,3.81382,-0.42782,1.01399,425.55067,0.17682,0,0:x-0.106:y-0.422:f0.00:tf11.57:p0.0000:tok-1;15:x0.015:y-0.404:f6.89:tf11.57:p0.0154:tok-1;30:x0.016:y-0.295:f6.92:tf11.57:p0.0155:tok-1;45:x0.017:y-0.119:f7.46:tf11.57:p0.0170:tok-1;60:x0.017:y0.027:f7.72:tf11.81:p0.0173:tok-1;75:x0.018:y0.134:f7.32:tf11.81:p0.0176:tok-1;90:x0.018:y0.254:f8.08:tf11.81:p0.0183:tok-1;105:x0.018:y0.393:f7.75:tf11.81:p0.0180:tok-1;119:x0.018:y0.442:f8.01:tf11.81:p0.0181:tok-1
admittance_switching_control,nominal_surface_tracking,0,0,,0,0.95833,5.24587,4.96622,0.44415,2.55950,0.03179,0.00870,0.21739,0.01739,2,120,4.96411,-1.22124,0.99168,424.85141,0.18225,0,0:x-0.116:y-0.431:f0.00:tf11.57:p0.0000:tok-1;15:x0.015:y-0.419:f6.91:tf11.57:p0.0147:tok-1;30:x0.015:y-0.340:f6.99:tf11.57:p0.0149:tok-1;45:x0.015:y-0.181:f6.28:tf11.57:p0.0155:tok-1;60:x0.016:y-0.005:f7.12:tf11.81:p0.0158:tok-1;75:x0.016:y0.129:f6.76:tf11.81:p0.0162:tok-1;90:x0.016:y0.234:f7.26:tf11.81:p0.0165:tok-1;105:x0.016:y0.350:f7.11:tf11.81:p0.0162:tok-1;119:x0.016:y0.421:f7.28:tf11.81:p0.0162:tok-1
robust_mpc_impedance,nominal_surface_tracking,0,0,,0,0.94167,5.06988,5.03912,0.42925,0.50434,0.01647,0.00000,0.22124,0.01770,2,120,1.91157,0.48569,0.98298,423.95413,0.18249,0,0:x-0.109:y-0.443:f0.23:tf11.57:p0.0000:tok-1;15:x0.014:y-0.431:f6.03:tf11.57:p0.0145:tok-1;30:x0.015:y-0.351:f6.46:tf11.57:p0.0150:tok-1;45:x0.015:y-0.195:f6.65:tf11.57:p0.0154:tok-1;60:x0.016:y-0.017:f6.74:tf11.81:p0.0159:tok-1;75:x0.016:y0.122:f6.47:tf11.81:p0.0159:tok-1;90:x0.016:y0.229:f7.14:tf11.81:p0.0165:tok-1;105:x0.016:y0.341:f6.86:tf11.81:p0.0159:tok-1;119:x0.016:y0.414:f6.75:tf11.81:p0.0160:tok-1
learned_gain_regressor,nominal_surface_tracking,0,0,,0,0.95833,4.64466,4.51205,0.39325,1.14822,0.01797,0.00000,0.17391,0.01739,2,120,3.08164,0.07679,1.01720,419.84967,0.17698,0,0:x-0.118:y-0.417:f0.03:tf11.57:p0.0000:tok-1;15:x0.016:y-0.401:f6.37:tf11.57:p0.0158:tok-1;30:x0.017:y-0.291:f7.30:tf11.57:p0.0167:tok-1;45:x0.017:y-0.114:f6.60:tf11.57:p0.0165:tok-1;60:x0.017:y0.030:f6.78:tf11.81:p0.0168:tok-1;75:x0.017:y0.137:f7.18:tf11.81:p0.0174:tok-1;90:x0.018:y0.260:f7.78:tf11.81:p0.0176:tok-1;105:x0.017:y0.400:f7.36:tf11.81:p0.0175:tok-1;119:x0.017:y0.445:f7.53:tf11.81:p0.0175:tok-1
impedance_token_policy,nominal_surface_tracking,0,0,,0,0.95000,4.87141,4.68093,0.41245,1.42213,0.01899,0.00877,0.00000,0.01754,2,120,3.69253,-0.34961,1.00702,424.30522,0.17734,50,0:x-0.130:y-0.426:f0.11:tf11.57:p0.0000:tok1;15:x0.016:y-0.409:f7.33:tf11.57:p0.0157:tok2;30:x0.015:y-0.298:f6.62:tf11.57:p0.0152:tok3;45:x0.016:y-0.145:f6.67:tf11.57:p0.0156:tok3;60:x0.016:y0.004:f6.50:tf11.81:p0.0162:tok3;75:x0.017:y0.133:f8.04:tf11.81:p0.0171:tok2;90:x0.017:y0.261:f7.47:tf11.81:p0.0167:tok5;105:x0.017:y0.386:f7.34:tf11.81:p0.0172:tok5;119:x0.017:y0.436:f7.26:tf11.81:p0.0170:tok5
oracle_impedance,nominal_surface_tracking,0,0,,0,0.95000,4.75196,4.69352,0.40234,0.86141,0.01731,0.00000,0.15789,0.01754,2,120,2.51914,0.37446,1.01563,415.34525,0.17536,0,0:x-0.122:y-0.433:f0.00:tf11.57:p0.0000:tok-1;15:x0.016:y-0.408:f7.13:tf11.57:p0.0158:tok-1;30:x0.016:y-0.266:f7.58:tf11.57:p0.0163:tok-1;45:x0.016:y-0.093:f6.98:tf11.57:p0.0162:tok-1;60:x0.017:y0.029:f6.51:tf11.81:p0.0166:tok-1;75:x0.017:y0.140:f7.36:tf11.81:p0.0168:tok-1;90:x0.017:y0.278:f6.91:tf11.81:p0.0169:tok-1;105:x0.017:y0.411:f7.38:tf11.81:p0.0173:tok-1;119:x0.017:y0.444:f7.19:tf11.81:p0.0172:tok-1
fixed_impedance,nominal_surface_tracking,0,1,,0,0.95833,5.29222,5.20739,0.43225,1.85783,0.01943,0.00870,0.17391,0.01739,2,120,3.57028,0.50266,1.01239,397.02704,0.19016,0,0:x-0.127:y-0.426:f0.29:tf11.67:p0.0000:tok-1;15:x0.019:y-0.409:f7.07:tf11.67:p0.0189:tok-1;30:x0.019:y-0.300:f6.39:tf11.67:p0.0190:tok-1;45:x0.018:y-0.122:f6.83:tf11.67:p0.0183:tok-1;60:x0.018:y0.022:f7.50:tf12.24:p0.0176:tok-1;75:x0.018:y0.126:f6.91:tf12.24:p0.0181:tok-1;90:x0.018:y0.245:f7.15:tf12.24:p0.0178:tok-1;105:x0.018:y0.386:f7.10:tf12.24:p0.0177:tok-1;119:x0.018:y0.441:f6.45:tf12.24:p0.0176:tok-1
gain_scheduled_impedance,nominal_surface_tracking,0,1,,0,0.95833,5.06110,4.96300,0.41338,1.10274,0.02042,0.00000,0.15652,0.01739,2,120,2.98673,0.30406,1.01083,400.03493,0.18701,0,0:x-0.111:y-0.439:f0.09:tf11.67:p0.0000:tok-1;15:x0.019:y-0.412:f6.81:tf11.67:p0.0187:tok-1;30:x0.020:y-0.277:f6.43:tf11.67:p0.0198:tok-1;45:x0.020:y-0.104:f6.96:tf11.67:p0.0204:tok-1;60:x0.018:y0.018:f7.11:tf12.24:p0.0175:tok-1;75:x0.018:y0.128:f7.30:tf12.24:p0.0182:tok-1;90:x0.018:y0.263:f7.10:tf12.24:p0.0183:tok-1;105:x0.018:y0.399:f7.25:tf12.24:p0.0184:tok-1;119:x0.018:y0.440:f7.36:tf12.24:p0.0182:tok-1
adaptive_impedance_control,nominal_surface_tracking,0,1,,0,0.96667,4.65078,4.48578,0.37986,1.07353,0.02095,0.00000,0.16379,0.00000,0,120,2.93431,0.61727,1.00570,403.42010,0.18591,0,0:x-0.103:y-0.449:f0.00:tf11.67:p0.0000:tok-1;15:x0.019:y-0.423:f7.24:tf11.67:p0.0195:tok-1;30:x0.021:y-0.283:f7.16:tf11.67:p0.0207:tok-1;45:x0.020:y-0.108:f7.15:tf11.67:p0.0204:tok-1;60:x0.019:y0.012:f7.34:tf12.24:p0.0187:tok-1;75:x0.020:y0.120:f8.07:tf12.24:p0.0197:tok-1;90:x0.019:y0.254:f7.61:tf12.24:p0.0194:tok-1;105:x0.020:y0.392:f7.42:tf12.24:p0.0199:tok-1;119:x0.020:y0.435:f8.46:tf12.24:p0.0195:tok-1
admittance_switching_control,nominal_surface_tracking,0,1,,0,0.95833,5.31862,5.09552,0.43441,2.36523,0.03391,0.00870,0.19130,0.01739,2,120,4.93902,-1.16667,0.98144,403.44598,0.19161,0,0:x-0.110:y-0.413:f0.00:tf11.67:p0.0000:tok-1;15:x0.018:y-0.403:f6.31:tf11.67:p0.0180:tok-1;30:x0.019:y-0.337:f6.95:tf11.67:p0.0194:tok-1;45:x0.020:y-0.189:f7.01:tf11.67:p0.0198:tok-1;60:x0.018:y-0.015:f6.94:tf12.24:p0.0176:tok-1;75:x0.018:y0.121:f7.41:tf12.24:p0.0177:tok-1;90:x0.018:y0.227:f7.08:tf12.24:p0.0178:tok-1;105:x0.018:y0.343:f7.38:tf12.24:p0.0182:tok-1;119:x0.017:y0.413:f7.27:tf12.24:p0.0175:tok-1
robust_mpc_impedance,nominal_surface_tracking,0,1,,0,0.95000,5.15754,5.17974,0.42125,0.14953,0.01977,0.00000,0.19298,0.00000,0,120,1.83082,0.68976,0.97470,394.25248,0.19239,0,0:x-0.108:y-0.437:f0.00:tf11.67:p0.0000:tok-1;15:x0.017:y-0.426:f5.83:tf11.67:p0.0168:tok-1;30:x0.019:y-0.349:f6.83:tf11.67:p0.0194:tok-1;45:x0.019:y-0.195:f6.86:tf11.67:p0.0193:tok-1;60:x0.018:y-0.027:f6.76:tf12.24:p0.0176:tok-1;75:x0.018:y0.109:f7.19:tf12.24:p0.0178:tok-1;90:x0.018:y0.220:f7.17:tf12.24:p0.0176:tok-1;105:x0.018:y0.335:f6.67:tf12.24:p0.0177:tok-1;119:x0.018:y0.407:f7.32:tf12.24:p0.0180:tok-1
learned_gain_regressor,nominal_surface_tracking,0,1,,0,0.95833,4.71902,4.62464,0.38544,1.13565,0.02090,0.00000,0.15652,0.01739,2,120,3.18725,0.13118,1.01019,402.36887,0.18622,0,0:x-0.116:y-0.428:f0.00:tf11.67:p0.0000:tok-1;15:x0.019:y-0.407:f7.22:tf11.67:p0.0194:tok-1;30:x0.021:y-0.283:f7.58:tf11.67:p0.0206:tok-1;45:x0.020:y-0.109:f6.95:tf11.67:p0.0203:tok-1;60:x0.018:y0.019:f7.41:tf12.24:p0.0184:tok-1;75:x0.019:y0.126:f7.79:tf12.24:p0.0191:tok-1;90:x0.019:y0.258:f7.70:tf12.24:p0.0187:tok-1;105:x0.019:y0.397:f7.81:tf12.24:p0.0188:tok-1;119:x0.019:y0.439:f7.39:tf12.24:p0.0188:tok-1
impedance_token_policy,nominal_surface_tracking,0,1,,0,0.95833,4.90687,4.82312,0.40078,0.67119,0.02015,0.00000,0.02609,0.00870,1,120,2.85854,0.53662,1.00128,399.28636,0.18828,58,0:x-0.110:y-0.450:f0.00:tf11.67:p0.0000:tok1;15:x0.019:y-0.425:f7.15:tf11.67:p0.0189:tok5;30:x0.019:y-0.294:f6.29:tf11.67:p0.0194:tok3;45:x0.020:y-0.140:f7.19:tf11.67:p0.0201:tok3;60:x0.018:y-0.006:f7.78:tf12.24:p0.0184:tok3;75:x0.019:y0.122:f8.27:tf12.24:p0.0188:tok3;90:x0.019:y0.250:f8.08:tf12.24:p0.0188:tok2;105:x0.019:y0.377:f7.73:tf12.24:p0.0188:tok2;119:x0.019:y0.431:f7.53:tf12.24:p0.0192:tok5
oracle_impedance,nominal_surface_tracking,0,1,,0,0.95833,4.80783,4.81587,0.39269,0.84043,0.02077,0.00000,0.15652,0.01739,2,120,2.51674,0.62161,1.01110,391.02268,0.18510,0,0:x-0.109:y-0.427:f0.00:tf11.67:p0.0000:tok-1;15:x0.020:y-0.403:f6.49:tf11.67:p0.0198:tok-1;30:x0.020:y-0.269:f7.04:tf11.67:p0.0202:tok-1;45:x0.021:y-0.093:f7.08:tf11.67:p0.0207:tok-1;60:x0.018:y0.023:f7.86:tf12.24:p0.0183:tok-1;75:x0.018:y0.134:f6.37:tf12.24:p0.0179:tok-1;90:x0.019:y0.274:f7.45:tf12.24:p0.0189:tok-1;105:x0.019:y0.407:f7.77:tf12.24:p0.0189:tok-1;119:x0.019:y0.440:f7.15:tf12.24:p0.0188:tok-1
