method,split,seeds,episodes_per_seed,mean_success_rate,ci95_success_rate,mean_mean_mean_abs_force_error,ci95_mean_mean_abs_force_error,mean_mean_post_shift_force_error,ci95_mean_post_shift_force_error,mean_mean_normalized_force_error,ci95_mean_normalized_force_error,mean_mean_peak_overshoot,ci95_mean_peak_overshoot,mean_mean_safety_violation_rate,ci95_mean_safety_violation_rate,mean_mean_slip_rate,ci95_mean_slip_rate,mean_mean_chatter_rate,ci95_mean_chatter_rate,mean_mean_settling_latency,ci95_mean_settling_latency,mean_mean_energy,ci95_mean_energy,mean_mean_final_progress,ci95_mean_final_progress,mean_mean_token_switches,ci95_mean_token_switches
ablate_no_calibration_guard,actuator_saturation,8,4,0.25000,0.16039,2.54428,0.06876,1.98784,0.11175,0.14534,0.00306,1.42475,0.05506,0.00036,0.00070,0.29210,0.03497,0.02907,0.00416,5.18750,0.36750,1.07712,0.02507,0.72476,0.01300,28.62500,1.39210
ablate_no_calibration_guard,combined_extreme_stress,8,4,0.09375,0.08966,2.51655,0.09185,2.35338,0.18626,0.13539,0.00678,1.40864,0.04882,0.00072,0.00093,0.23877,0.02842,0.10286,0.00770,5.81250,0.83212,1.02481,0.02965,0.69008,0.00816,37.40625,1.57677
ablate_no_calibration_guard,combined_stress,8,4,0.00000,0.00000,2.41089,0.08420,1.84563,0.08565,0.14543,0.00692,1.47708,0.05878,0.00108,0.00103,0.17928,0.02397,0.06792,0.01430,5.00000,0.00000,1.01477,0.01796,0.67778,0.00496,35.28125,1.62102
ablate_no_calibration_guard,stick_slip_cycle,8,4,0.03125,0.06125,2.38825,0.05088,1.86443,0.09045,0.17491,0.00506,1.23645,0.02210,0.00000,0.00000,0.18056,0.02001,0.01688,0.00547,5.12500,0.09260,0.96427,0.02549,0.67893,0.00789,25.56250,0.72176
ablate_no_discrete_tokens,actuator_saturation,8,4,0.09375,0.08966,1.91530,0.03558,0.92062,0.07721,0.10944,0.00321,1.53747,0.05247,0.00391,0.00256,0.61334,0.00525,0.04149,0.00656,5.06250,0.08020,0.83683,0.02278,0.86077,0.00099,0.00000,0.00000
ablate_no_discrete_tokens,combined_extreme_stress,8,4,0.93750,0.08020,2.20313,0.05438,1.75654,0.18468,0.11858,0.00495,1.54951,0.06143,0.00249,0.00245,0.57393,0.00591,0.13574,0.01202,5.71875,0.61729,0.78270,0.02278,0.83118,0.00392,0.00000,0.00000
ablate_no_discrete_tokens,combined_stress,8,4,0.68750,0.25779,2.01125,0.03474,1.03703,0.05121,0.12129,0.00341,1.64061,0.04802,0.00675,0.00348,0.58771,0.00732,0.08629,0.01148,5.03125,0.06125,0.77853,0.02399,0.82999,0.00151,0.00000,0.00000
ablate_no_discrete_tokens,stick_slip_cycle,8,4,0.28125,0.19507,1.53756,0.03542,0.53790,0.04318,0.11254,0.00291,1.26690,0.01984,0.00000,0.00000,0.60468,0.00637,0.03336,0.00563,5.00000,0.00000,0.81671,0.02330,0.84769,0.00102,0.00000,0.00000
ablate_no_force_update,actuator_saturation,8,4,0.00000,0.00000,2.67217,0.08840,1.44376,0.16190,0.15246,0.00502,1.24644,0.03033,0.00000,0.00000,0.34251,0.01551,0.02740,0.00239,5.03125,0.06125,0.71845,0.01673,0.69583,0.00359,35.90625,2.19904
ablate_no_force_update,combined_extreme_stress,8,4,0.00000,0.00000,4.06668,0.13125,5.27660,0.41097,0.21895,0.00985,1.56012,0.03661,0.00145,0.00215,0.30314,0.02382,0.04438,0.00808,17.03125,12.24280,0.82128,0.01550,0.69506,0.00302,67.00000,1.36096
ablate_no_force_update,combined_stress,8,4,0.00000,0.00000,3.32291,0.08486,2.99515,0.27471,0.20036,0.00601,1.42190,0.04334,0.00000,0.00000,0.20917,0.02723,0.03625,0.00589,8.12500,5.56918,0.75826,0.01407,0.67628,0.00341,58.43750,3.48056
ablate_no_force_update,stick_slip_cycle,8,4,0.00000,0.00000,2.55839,0.09703,1.77197,0.24936,0.18698,0.00599,1.02805,0.01093,0.00000,0.00000,0.33308,0.01971,0.00865,0.00402,5.21875,0.19507,0.70236,0.01678,0.68009,0.00344,29.96875,1.94999
ablate_no_memory,actuator_saturation,8,4,0.96875,0.06125,2.82702,0.04795,1.34798,0.14644,0.16156,0.00548,1.39518,0.05790,0.00073,0.00094,0.50149,0.00680,0.02487,0.00406,5.00000,0.00000,0.56127,0.01154,0.75638,0.00179,12.96875,1.00777
ablate_no_memory,combined_extreme_stress,8,4,0.12500,0.09260,2.90984,0.06499,1.99985,0.19759,0.15653,0.00529,1.42141,0.05684,0.00000,0.00000,0.45900,0.01019,0.11390,0.00772,5.15625,0.30625,0.53896,0.01160,0.72595,0.00460,15.09375,0.50667
ablate_no_memory,combined_stress,8,4,0.00000,0.00000,2.79765,0.05469,1.39026,0.11240,0.16866,0.00527,1.46859,0.04294,0.00221,0.00144,0.43379,0.01941,0.06009,0.00873,5.00000,0.00000,0.52285,0.01269,0.71937,0.00355,14.56250,0.74514
ablate_no_memory,stick_slip_cycle,8,4,0.46875,0.11103,2.51853,0.04287,1.07681,0.09966,0.18422,0.00302,1.06016,0.02859,0.00000,0.00000,0.46407,0.01284,0.01173,0.00326,5.00000,0.00000,0.54534,0.01492,0.73685,0.00378,8.96875,0.79894
ablate_no_phase_memory,actuator_saturation,8,4,1.00000,0.00000,2.52569,0.05139,1.31506,0.15218,0.14436,0.00507,1.43867,0.05524,0.00144,0.00106,0.50039,0.00494,0.02448,0.00403,5.00000,0.00000,0.74417,0.01590,0.76414,0.00120,34.12500,0.86373
ablate_no_phase_memory,combined_extreme_stress,8,4,0.21875,0.11103,2.69288,0.06885,1.92695,0.22815,0.14494,0.00580,1.45135,0.06606,0.00036,0.00071,0.43252,0.01118,0.09970,0.01113,5.40625,0.50667,0.69526,0.01645,0.73262,0.00439,38.37500,1.23892
ablate_no_phase_memory,combined_stress,8,4,0.09375,0.08966,2.56522,0.07724,1.34131,0.09537,0.15475,0.00660,1.51162,0.06811,0.00181,0.00184,0.40630,0.01792,0.06125,0.01108,5.00000,0.00000,0.69068,0.01807,0.72686,0.00192,36.31250,0.85249
ablate_no_phase_memory,stick_slip_cycle,8,4,0.96875,0.06125,2.15572,0.03786,1.03586,0.07240,0.15773,0.00356,1.09084,0.03378,0.00000,0.00000,0.47191,0.01086,0.01587,0.00356,5.00000,0.00000,0.71824,0.01599,0.75033,0.00165,32.15625,0.43372
ablate_no_safety_penalty,actuator_saturation,8,4,0.00000,0.00000,3.23270,0.05158,3.02248,0.19999,0.18462,0.00462,1.29838,0.04913,0.00000,0.00000,0.26375,0.02200,0.01733,0.00321,6.62500,0.90257,0.74929,0.01356,0.68278,0.00416,41.21875,2.22520
ablate_no_safety_penalty,combined_extreme_stress,8,4,0.00000,0.00000,3.02792,0.04203,2.95514,0.24012,0.16287,0.00470,1.31119,0.06255,0.00036,0.00071,0.23442,0.03266,0.06951,0.01454,6.09375,0.42372,0.74603,0.00850,0.67255,0.00600,49.84375,1.38883
