method,split,seeds,episodes_per_seed,mean_success_rate,ci95_success_rate,mean_mean_mean_abs_force_error,ci95_mean_mean_abs_force_error,mean_mean_post_shift_force_error,ci95_mean_post_shift_force_error,mean_mean_normalized_force_error,ci95_mean_normalized_force_error,mean_mean_peak_overshoot,ci95_mean_peak_overshoot,mean_mean_safety_violation_rate,ci95_mean_safety_violation_rate,mean_mean_slip_rate,ci95_mean_slip_rate,mean_mean_chatter_rate,ci95_mean_chatter_rate,mean_mean_settling_latency,ci95_mean_settling_latency,mean_mean_energy,ci95_mean_energy,mean_mean_final_progress,ci95_mean_final_progress,mean_mean_token_switches,ci95_mean_token_switches
ablate_no_safety_penalty,combined_stress,8,4,0.00000,0.00000,3.02059,0.03391,2.68892,0.18326,0.18209,0.00433,1.34404,0.04704,0.00000,0.00000,0.10381,0.02882,0.03810,0.00683,5.90625,0.68636,0.71317,0.00809,0.65482,0.00469,47.21875,1.64986
ablate_no_safety_penalty,stick_slip_cycle,8,4,0.00000,0.00000,2.98854,0.05974,2.56954,0.14072,0.21852,0.00322,0.99447,0.02292,0.00000,0.00000,0.19584,0.02683,0.00218,0.00235,6.25000,0.72324,0.71499,0.01128,0.66565,0.00356,40.34375,1.04741
ablate_no_slip_context,actuator_saturation,8,4,0.00000,0.00000,3.00926,0.06388,2.11257,0.11287,0.17196,0.00577,1.32289,0.05700,0.00036,0.00070,0.25598,0.03456,0.01980,0.00362,5.00000,0.00000,0.84728,0.03133,0.69888,0.00806,45.37500,2.05191
ablate_no_slip_context,combined_extreme_stress,8,4,0.00000,0.00000,2.92659,0.04760,2.43843,0.15558,0.15746,0.00527,1.36048,0.07994,0.00036,0.00071,0.21658,0.03350,0.08397,0.01379,5.09375,0.08966,0.81224,0.01794,0.67136,0.00861,46.75000,1.91127
ablate_no_slip_context,combined_stress,8,4,0.00000,0.00000,2.86309,0.04949,2.14635,0.13956,0.17274,0.00552,1.37794,0.05501,0.00036,0.00071,0.15277,0.02317,0.04242,0.00950,5.06250,0.08020,0.79154,0.01921,0.65437,0.00410,44.62500,0.72914
ablate_no_slip_context,stick_slip_cycle,8,4,0.00000,0.00000,2.81342,0.03838,2.03202,0.05757,0.20591,0.00414,0.99522,0.02706,0.00000,0.00000,0.20838,0.01972,0.00361,0.00350,5.12500,0.13096,0.79902,0.02353,0.66910,0.00624,39.18750,1.46342
ablate_no_tail_risk_objective,actuator_saturation,8,4,1.00000,0.00000,2.35088,0.06079,1.32654,0.15065,0.13444,0.00561,1.44765,0.05185,0.00072,0.00092,0.44911,0.00607,0.02592,0.00370,5.00000,0.00000,0.71265,0.01090,0.76824,0.00146,19.71875,0.38669
ablate_no_tail_risk_objective,combined_extreme_stress,8,4,0.62500,0.18520,2.51466,0.05868,1.82608,0.20049,0.13539,0.00539,1.43444,0.05514,0.00073,0.00142,0.41336,0.01364,0.11555,0.00976,5.43750,0.51350,0.67453,0.01507,0.74505,0.00445,26.96875,1.22653
ablate_no_tail_risk_objective,combined_stress,8,4,0.31250,0.15356,2.41856,0.09078,1.36609,0.11452,0.14585,0.00696,1.50293,0.05538,0.00109,0.00104,0.36086,0.02109,0.06628,0.00729,5.03125,0.06125,0.66718,0.01286,0.73608,0.00248,25.06250,1.17407
ablate_no_tail_risk_objective,stick_slip_cycle,8,4,0.96875,0.06125,1.95533,0.04519,1.07027,0.09017,0.14304,0.00307,1.11267,0.03089,0.00000,0.00000,0.40704,0.01596,0.01549,0.00499,5.00000,0.00000,0.69504,0.01298,0.75285,0.00140,19.59375,0.24390
ablate_no_transition_planner,actuator_saturation,8,4,0.00000,0.00000,3.23218,0.06400,3.00394,0.25207,0.18464,0.00503,1.28446,0.04947,0.00000,0.00000,0.25239,0.01310,0.01657,0.00178,6.25000,0.53995,0.75976,0.02628,0.68454,0.00126,42.65625,1.49584
ablate_no_transition_planner,combined_extreme_stress,8,4,0.00000,0.00000,3.03283,0.04630,2.94683,0.32976,0.16308,0.00410,1.32288,0.04466,0.00000,0.00000,0.23790,0.05548,0.07093,0.00787,5.75000,0.32078,0.75613,0.02133,0.67469,0.00525,50.96875,2.07567
ablate_no_transition_planner,combined_stress,8,4,0.00000,0.00000,2.99714,0.04329,2.66450,0.11125,0.18066,0.00466,1.35486,0.05167,0.00036,0.00071,0.10360,0.02310,0.03528,0.00490,5.93750,0.35564,0.71752,0.01919,0.65580,0.00579,46.81250,1.50103
ablate_no_transition_planner,stick_slip_cycle,8,4,0.00000,0.00000,3.00316,0.04486,2.52571,0.13446,0.21963,0.00347,1.00069,0.02765,0.00000,0.00000,0.20558,0.04269,0.00326,0.00312,6.53125,0.55125,0.72600,0.01917,0.66864,0.00260,40.37500,1.01440
impedance_token_policy_v4,actuator_saturation,8,4,0.15625,0.12890,2.64958,0.06117,1.99323,0.20134,0.15141,0.00444,1.36069,0.05165,0.00000,0.00000,0.47540,0.00707,0.02552,0.00392,5.03125,0.06125,0.76761,0.01799,0.73456,0.00442,60.53125,1.64204
impedance_token_policy_v4,combined_extreme_stress,8,4,0.00000,0.00000,2.60835,0.03981,2.01830,0.21605,0.14024,0.00279,1.41448,0.06306,0.00073,0.00093,0.41682,0.01939,0.10733,0.00637,5.18750,0.30361,0.75677,0.01514,0.71901,0.00299,62.62500,1.08387
impedance_token_policy_v4,combined_stress,8,4,0.00000,0.00000,2.51535,0.06261,1.64784,0.09975,0.15170,0.00530,1.44966,0.06709,0.00072,0.00093,0.37125,0.01219,0.06549,0.00699,5.00000,0.00000,0.78869,0.01502,0.71672,0.00267,67.09375,1.88629
impedance_token_policy_v4,stick_slip_cycle,8,4,0.00000,0.00000,2.31243,0.04108,1.67108,0.08373,0.16902,0.00260,1.08655,0.01916,0.00000,0.00000,0.41986,0.01558,0.01764,0.00600,5.15625,0.12890,0.78569,0.01836,0.72394,0.00168,65.28125,1.58626
learned_only_token_replacement,actuator_saturation,8,4,0.68750,0.17932,2.74367,0.05411,1.06972,0.14851,0.15666,0.00487,1.53280,0.05590,0.00433,0.00339,0.59323,0.00710,0.02643,0.00459,5.50000,0.53195,0.62934,0.01404,0.81434,0.00109,0.00000,0.00000
learned_only_token_replacement,combined_extreme_stress,8,4,0.96875,0.06125,3.15016,0.08963,2.24567,0.25527,0.16948,0.00724,1.66353,0.08408,0.01243,0.01070,0.55216,0.00450,0.11699,0.01074,5.96875,0.82012,0.61283,0.01730,0.78255,0.00453,0.00000,0.00000
learned_only_token_replacement,combined_stress,8,4,1.00000,0.00000,2.95455,0.10538,1.33497,0.06230,0.17825,0.00847,1.63487,0.05324,0.01171,0.00544,0.55794,0.00772,0.06562,0.01435,5.06250,0.12250,0.59306,0.01487,0.77600,0.00216,0.00000,0.00000
learned_only_token_replacement,stick_slip_cycle,8,4,0.84375,0.12890,2.14372,0.06275,0.58729,0.04439,0.15698,0.00594,1.16801,0.03625,0.00000,0.00000,0.58007,0.00633,0.03077,0.00353,5.00000,0.00000,0.61499,0.01100,0.79992,0.00122,0.00000,0.00000
token_full_v5,actuator_saturation,8,4,0.00000,0.00000,3.21786,0.07493,2.95548,0.24747,0.18375,0.00449,1.31757,0.03849,0.00000,0.00000,0.27595,0.01960,0.01585,0.00240,6.46875,0.53547,0.73680,0.01765,0.68740,0.00369,43.34375,1.90439
token_full_v5,combined_extreme_stress,8,4,0.00000,0.00000,3.00224,0.04682,2.88819,0.25843,0.16151,0.00471,1.31764,0.05983,0.00036,0.00071,0.22709,0.04537,0.07241,0.01558,5.62500,0.37041,0.72751,0.02106,0.67246,0.00468,50.03125,1.82036
token_full_v5,combined_stress,8,4,0.00000,0.00000,2.98678,0.02361,2.63998,0.15662,0.17996,0.00398,1.35987,0.02847,0.00036,0.00071,0.11598,0.03737,0.04097,0.00421,5.62500,0.29283,0.69681,0.01334,0.65536,0.00515,47.31250,1.56808
token_full_v5,stick_slip_cycle,8,4,0.00000,0.00000,2.99087,0.04608,2.53072,0.15438,0.21872,0.00269,0.99389,0.02829,0.00000,0.00000,0.21051,0.03396,0.00289,0.00239,6.09375,0.45306,0.69933,0.01756,0.66721,0.00519,39.96875,2.08597
