budget,method,episodes,success_at_budget,mean_safety_violation_rate,mean_slip_rate,mean_chatter_rate
0.05,adaptive_impedance_control,528,0.00000,0.00845,0.56909,0.04765
0.05,admittance_switching_control,528,0.01894,0.00928,0.54425,0.05154
0.05,conformal_safety_gain,528,0.00000,0.00529,0.58303,0.03770
0.05,ensemble_uncertainty_gain,528,0.00000,0.00806,0.59027,0.03749
0.05,fixed_impedance,528,0.00000,0.02873,0.55502,0.04467
0.05,gain_scheduled_impedance,528,0.00000,0.00638,0.60453,0.03984
0.05,hist_gradient_gain_regressor,528,0.00000,0.00791,0.59277,0.03925
0.05,impedance_token_policy_v4,528,0.00568,0.00171,0.45449,0.03186
0.05,impedance_token_policy_v5,528,0.00000,0.00101,0.25982,0.01933
0.05,learned_gain_regressor,528,0.00000,0.01020,0.60256,0.03379
0.05,oracle_impedance,528,0.04167,0.00547,0.57700,0.04589
0.05,random_forest_gain_regressor,528,0.00000,0.00873,0.55920,0.03695
0.05,risk_averse_impedance,528,0.00000,0.00087,0.04586,0.01886
0.05,robust_mpc_impedance,528,0.00000,0.00253,0.38382,0.02669
0.05,token_no_memory_ablation,528,0.05114,0.00282,0.48846,0.03353
0.10,adaptive_impedance_control,528,0.00000,0.00845,0.56909,0.04765
0.10,admittance_switching_control,528,0.01894,0.00928,0.54425,0.05154
0.10,conformal_safety_gain,528,0.00000,0.00529,0.58303,0.03770
0.10,ensemble_uncertainty_gain,528,0.00000,0.00806,0.59027,0.03749
0.10,fixed_impedance,528,0.00000,0.02873,0.55502,0.04467
0.10,gain_scheduled_impedance,528,0.00000,0.00638,0.60453,0.03984
0.10,hist_gradient_gain_regressor,528,0.00000,0.00791,0.59277,0.03925
0.10,impedance_token_policy_v4,528,0.00568,0.00171,0.45449,0.03186
0.10,impedance_token_policy_v5,528,0.00000,0.00101,0.25982,0.01933
0.10,learned_gain_regressor,528,0.00000,0.01020,0.60256,0.03379
0.10,oracle_impedance,528,0.04167,0.00547,0.57700,0.04589
0.10,random_forest_gain_regressor,528,0.00000,0.00873,0.55920,0.03695
0.10,risk_averse_impedance,528,0.00000,0.00087,0.04586,0.01886
0.10,robust_mpc_impedance,528,0.00000,0.00253,0.38382,0.02669
0.10,token_no_memory_ablation,528,0.05114,0.00282,0.48846,0.03353
0.20,adaptive_impedance_control,528,0.00000,0.00845,0.56909,0.04765
0.20,admittance_switching_control,528,0.01894,0.00928,0.54425,0.05154
0.20,conformal_safety_gain,528,0.00000,0.00529,0.58303,0.03770
0.20,ensemble_uncertainty_gain,528,0.00000,0.00806,0.59027,0.03749
0.20,fixed_impedance,528,0.00000,0.02873,0.55502,0.04467
0.20,gain_scheduled_impedance,528,0.00000,0.00638,0.60453,0.03984
0.20,hist_gradient_gain_regressor,528,0.00000,0.00791,0.59277,0.03925
0.20,impedance_token_policy_v4,528,0.00568,0.00171,0.45449,0.03186
0.20,impedance_token_policy_v5,528,0.00000,0.00101,0.25982,0.01933
0.20,learned_gain_regressor,528,0.00000,0.01020,0.60256,0.03379
0.20,oracle_impedance,528,0.04167,0.00547,0.57700,0.04589
0.20,random_forest_gain_regressor,528,0.00000,0.00873,0.55920,0.03695
0.20,risk_averse_impedance,528,0.00000,0.00087,0.04586,0.01886
0.20,robust_mpc_impedance,528,0.00000,0.00253,0.38382,0.02669
0.20,token_no_memory_ablation,528,0.05114,0.00282,0.48846,0.03353
