group,method,seed_split_rows,success_rate,ci95_success_rate,normalized_force_error,ci95_normalized_force_error,peak_overshoot,ci95_peak_overshoot,safety_violation_rate,ci95_safety_violation_rate,slip_rate,ci95_slip_rate,chatter_rate,ci95_chatter_rate,settling_latency,ci95_settling_latency,energy,ci95_energy
combined_and_extreme,fixed_impedance,16,0.32292,0.09649,0.24305,0.00528,1.70104,0.01896,0.01089,0.00272,0.51634,0.00675,0.07315,0.00845,94.21875,2.39061,0.86840,0.01397
combined_and_extreme,gain_scheduled_impedance,16,0.90625,0.07285,0.13476,0.00341,1.57988,0.05444,0.00587,0.00320,0.58000,0.00469,0.09758,0.01339,5.36458,0.31165,0.66599,0.00837
combined_and_extreme,hist_gradient_gain_regressor,16,0.89583,0.05056,0.17686,0.00360,1.67954,0.03652,0.01248,0.00526,0.55902,0.00522,0.08910,0.01241,6.34375,0.68358,0.59407,0.00992
combined_and_extreme,impedance_token_policy_v4,16,0.00000,0.00000,0.14643,0.00295,1.40709,0.03839,0.00085,0.00085,0.38866,0.01307,0.07909,0.00970,5.03125,0.03292,0.77930,0.01029
combined_and_extreme,impedance_token_policy_v5,16,0.00000,0.00000,0.17290,0.00443,1.32810,0.02635,0.00024,0.00032,0.17551,0.03454,0.05464,0.00770,5.90625,0.22899,0.71943,0.01661
combined_and_extreme,learned_gain_regressor,16,0.82292,0.06974,0.17320,0.00504,1.65539,0.05217,0.01232,0.00563,0.57414,0.00315,0.07651,0.01209,5.56250,0.37111,0.63968,0.01085
combined_and_extreme,oracle_impedance,16,0.90625,0.05941,0.10530,0.00243,1.58199,0.06334,0.00505,0.00253,0.50142,0.01402,0.11729,0.01611,5.02083,0.02790,0.80699,0.01411
combined_and_extreme,random_forest_gain_regressor,16,0.93750,0.04083,0.17825,0.00338,1.68383,0.04196,0.01263,0.00433,0.53470,0.00506,0.08614,0.01155,6.38542,0.74713,0.58263,0.00753
combined_and_extreme,risk_averse_impedance,16,0.00000,0.00000,0.21110,0.00506,1.26637,0.04099,0.00000,0.00000,0.00151,0.00186,0.05019,0.00701,5.47917,0.15169,0.36511,0.00554
combined_and_extreme,robust_mpc_impedance,16,0.00000,0.00000,0.19850,0.00514,1.37666,0.03883,0.00089,0.00089,0.32411,0.01438,0.06899,0.01091,5.14583,0.07228,0.34669,0.00391
combined_and_extreme,token_no_memory_ablation,16,0.08333,0.06668,0.16063,0.00293,1.46813,0.03446,0.00184,0.00108,0.45928,0.00596,0.08609,0.01192,5.06250,0.10276,0.52052,0.00730
