group,method,seed_split_rows,success_rate,ci95_success_rate,normalized_force_error,ci95_normalized_force_error,peak_overshoot,ci95_peak_overshoot,safety_violation_rate,ci95_safety_violation_rate,slip_rate,ci95_slip_rate,chatter_rate,ci95_chatter_rate,settling_latency,ci95_settling_latency,energy,ci95_energy
all_splits,adaptive_impedance_control,96,0.85417,0.03996,0.11490,0.00401,1.51062,0.05293,0.00775,0.00252,0.57116,0.00388,0.04477,0.00694,5.33854,0.15559,0.89742,0.00983
all_splits,admittance_switching_control,96,0.94618,0.02443,0.11784,0.00419,1.68645,0.03126,0.00864,0.00220,0.54620,0.00428,0.04845,0.00697,5.21007,0.10970,1.13976,0.00663
all_splits,conformal_safety_gain,96,0.67361,0.06269,0.17024,0.00533,1.38436,0.05476,0.00485,0.00195,0.58498,0.00366,0.03484,0.00598,5.16146,0.09286,0.61056,0.00481
all_splits,ensemble_uncertainty_gain,96,0.53125,0.06460,0.17582,0.00615,1.43289,0.05633,0.00739,0.00270,0.59224,0.00361,0.03469,0.00558,5.46007,0.21789,0.60333,0.00494
all_splits,fixed_impedance,96,0.74306,0.06823,0.20506,0.00813,1.79840,0.01650,0.02949,0.00288,0.55705,0.00424,0.04197,0.00414,33.37153,7.31173,0.90250,0.00776
all_splits,gain_scheduled_impedance,96,0.31250,0.06897,0.12959,0.00472,1.41861,0.05660,0.00584,0.00214,0.60589,0.00306,0.03673,0.00656,5.25347,0.13484,0.71657,0.00930
all_splits,hist_gradient_gain_regressor,96,0.49306,0.07009,0.17201,0.00642,1.42764,0.05686,0.00725,0.00253,0.59505,0.00432,0.03648,0.00596,5.62153,0.26503,0.61371,0.00479
all_splits,impedance_token_policy_v4,96,0.19618,0.05845,0.16547,0.00434,1.28570,0.04442,0.00156,0.00074,0.46280,0.01050,0.02959,0.00529,5.13715,0.06960,0.76927,0.00499
all_splits,impedance_token_policy_v5,96,0.00000,0.00000,0.20425,0.00556,1.20245,0.04507,0.00093,0.00055,0.26969,0.01367,0.01778,0.00411,6.26389,0.23801,0.71951,0.00600
all_splits,learned_gain_regressor,96,0.37847,0.06798,0.17424,0.00622,1.48307,0.05715,0.00935,0.00313,0.60505,0.00399,0.03129,0.00535,5.42361,0.19530,0.66534,0.00672
all_splits,oracle_impedance,96,0.55035,0.06564,0.10703,0.00307,1.44990,0.05901,0.00501,0.00168,0.58078,0.00816,0.04226,0.00792,5.05903,0.04076,0.79255,0.00912
all_splits,random_forest_gain_regressor,96,0.82812,0.05353,0.17699,0.00667,1.43980,0.05712,0.00801,0.00270,0.56085,0.00315,0.03421,0.00578,5.64757,0.27518,0.60257,0.00400
all_splits,risk_averse_impedance,96,0.00000,0.00000,0.24886,0.00728,1.18248,0.04515,0.00079,0.00052,0.05889,0.01421,0.01729,0.00377,5.80208,0.21511,0.38375,0.00350
all_splits,robust_mpc_impedance,96,0.00000,0.00000,0.22967,0.00682,1.26888,0.04828,0.00232,0.00110,0.38763,0.00745,0.02453,0.00505,5.26042,0.09817,0.35908,0.00242
all_splits,token_no_memory_ablation,96,0.66146,0.06934,0.18008,0.00505,1.31466,0.05157,0.00259,0.00112,0.49036,0.00461,0.03081,0.00601,5.11806,0.07784,0.54244,0.00451
hard_splits,adaptive_impedance_control,88,0.86553,0.04153,0.11519,0.00437,1.53403,0.05519,0.00845,0.00270,0.56909,0.00396,0.04765,0.00728,5.36932,0.16833,0.89287,0.01011
hard_splits,admittance_switching_control,88,0.94129,0.02642,0.11835,0.00456,1.69394,0.03365,0.00928,0.00235,0.54425,0.00444,0.05154,0.00727,5.22917,0.11892,1.13958,0.00703
hard_splits,conformal_safety_gain,88,0.70833,0.06297,0.16934,0.00578,1.41307,0.05599,0.00529,0.00210,0.58303,0.00372,0.03770,0.00618,5.17614,0.10078,0.60827,0.00491
hard_splits,ensemble_uncertainty_gain,88,0.56061,0.06682,0.17562,0.00670,1.46427,0.05708,0.00806,0.00290,0.59027,0.00367,0.03749,0.00574,5.50189,0.23585,0.60109,0.00503
hard_splits,fixed_impedance,88,0.72538,0.07298,0.20750,0.00869,1.79526,0.01776,0.02873,0.00307,0.55502,0.00437,0.04467,0.00407,35.95076,7.75625,0.89961,0.00808
hard_splits,gain_scheduled_impedance,88,0.34091,0.07238,0.13026,0.00512,1.44893,0.05769,0.00638,0.00230,0.60453,0.00316,0.03984,0.00680,5.27652,0.14621,0.71203,0.00958
hard_splits,hist_gradient_gain_regressor,88,0.53220,0.07081,0.17202,0.00701,1.45984,0.05745,0.00791,0.00272,0.59277,0.00440,0.03925,0.00619,5.67803,0.28632,0.61134,0.00486
hard_splits,impedance_token_policy_v4,88,0.12879,0.04046,0.16339,0.00449,1.30811,0.04564,0.00171,0.00081,0.45449,0.00973,0.03186,0.00553,5.14962,0.07542,0.77005,0.00537
hard_splits,impedance_token_policy_v5,88,0.00000,0.00000,0.20025,0.00532,1.22646,0.04598,0.00101,0.00060,0.25982,0.01304,0.01933,0.00434,6.34280,0.25196,0.71949,0.00639
hard_splits,learned_gain_regressor,88,0.41288,0.06984,0.17290,0.00669,1.51272,0.05852,0.01020,0.00336,0.60256,0.00395,0.03379,0.00555,5.46212,0.21131,0.66234,0.00692
hard_splits,oracle_impedance,88,0.59470,0.06375,0.10684,0.00334,1.47982,0.06060,0.00547,0.00180,0.57700,0.00846,0.04589,0.00824,5.06439,0.04431,0.79165,0.00991
hard_splits,random_forest_gain_regressor,88,0.82576,0.05806,0.17686,0.00727,1.47235,0.05766,0.00873,0.00290,0.55920,0.00320,0.03695,0.00599,5.70644,0.29727,0.60066,0.00408
hard_splits,risk_averse_impedance,88,0.00000,0.00000,0.24382,0.00704,1.20695,0.04593,0.00087,0.00056,0.04586,0.01227,0.01886,0.00395,5.86932,0.22956,0.38200,0.00355
hard_splits,robust_mpc_impedance,88,0.00000,0.00000,0.22585,0.00690,1.29478,0.04920,0.00253,0.00119,0.38382,0.00763,0.02669,0.00528,5.28409,0.10575,0.35805,0.00247
hard_splits,token_no_memory_ablation,88,0.63636,0.07326,0.17727,0.00511,1.34237,0.05254,0.00282,0.00121,0.48846,0.00479,0.03353,0.00625,5.12879,0.08460,0.54015,0.00457
combined_and_extreme,adaptive_impedance_control,16,0.95833,0.04715,0.12060,0.00263,1.66076,0.04686,0.00879,0.00422,0.53663,0.00445,0.10774,0.01485,5.76042,0.48997,0.84665,0.01170
combined_and_extreme,admittance_switching_control,16,0.94792,0.03910,0.11726,0.00257,1.66386,0.03853,0.00620,0.00272,0.51358,0.00827,0.11236,0.01588,5.14583,0.14262,1.12956,0.01465
combined_and_extreme,conformal_safety_gain,16,0.96875,0.03292,0.16715,0.00353,1.51033,0.05673,0.00328,0.00242,0.55392,0.00406,0.08547,0.01363,5.15625,0.10530,0.59103,0.00889
combined_and_extreme,ensemble_uncertainty_gain,16,0.93750,0.05056,0.17672,0.00347,1.63455,0.04761,0.00906,0.00518,0.56180,0.00406,0.08425,0.01000,5.65625,0.44478,0.58455,0.01057
